order_id,freight_cost,handling_cost,rebate_amount
SO-700001,309.39,16.15,307.96
SO-700002,59.91,8.75,0
SO-700003,188.64,14.3,0
SO-700004,327.11,16.15,0
SO-700005,22.72,6.9,0
SO-700006,64.6,10.6,0
SO-700007,75.72,14.3,0
SO-700008,43.48,8.75,0
SO-700009,81.36,14.3,0
SO-700010,71.28,10.6,34.97
SO-700011,103.25,14.3,0
SO-700012,36.75,12.45,0
SO-700013,66.22,10.6,0
SO-700014,160.69,14.3,0
SO-700015,48.89,10.6,0
SO-700016,85.93,12.45,96.2
SO-700017,44.82,10.6,0
SO-700018,90.62,8.75,0
SO-700019,131.08,16.15,245.95
SO-700020,119.64,10.6,0
SO-700021,205.33,14.3,186.81
SO-700022,303.46,18,166.54
SO-700023,95.24,12.45,102.14
SO-700024,315.91,16.15,337.12
SO-700025,68.06,10.6,0
SO-700026,366.18,18,0
SO-700027,154.59,12.45,0
SO-700028,137.56,12.45,0
SO-700029,91.73,18,0
SO-700030,111.3,6.9,0
SO-700031,94.31,16.15,0
SO-700032,150,10.6,0
SO-700033,32.8,10.6,0
SO-700034,152.82,16.15,64.84
SO-700035,91.03,10.6,0
SO-700036,41.96,6.9,0
SO-700037,74.24,12.45,0
SO-700038,35.91,8.75,0
SO-700039,43.02,12.45,0
SO-700040,84.13,12.45,114.14
SO-700041,133.44,10.6,0
SO-700042,73.97,8.75,0
SO-700043,54.06,10.6,33.68
SO-700044,46.68,10.6,0
SO-700045,46.26,8.75,0
SO-700046,117.66,12.45,122.83
SO-700047,179.24,14.3,51.07
SO-700048,54.57,8.75,0
SO-700049,298.62,12.45,134.94
SO-700050,189.46,12.45,0
SO-700051,123.82,10.6,46.2
SO-700052,244.2,14.3,239.19
SO-700053,117.66,12.45,0
SO-700054,82.24,14.3,137.01
SO-700055,82.96,14.3,0
SO-700056,147.16,12.45,0
SO-700057,46.83,10.6,0
SO-700058,74.92,8.75,0
SO-700059,82.7,10.6,0
SO-700060,109.5,10.6,81.03
SO-700061,107.24,12.45,0
SO-700062,95.28,14.3,0
SO-700063,169.94,12.45,0
SO-700064,142.09,12.45,0
SO-700065,201.64,16.15,0
SO-700066,320.01,14.3,367.22
SO-700067,221.69,18,62.93
SO-700068,163.84,18,0
SO-700069,400.16,12.45,242.93
SO-700070,156.3,12.45,0
SO-700071,127.69,16.15,0
SO-700072,30.99,8.75,0
SO-700073,63.89,10.6,0
SO-700074,221.35,16.15,0
SO-700075,35.36,8.75,0
SO-700076,73.51,12.45,0
SO-700077,116.25,8.75,0
SO-700078,328.89,16.15,337.97
SO-700079,140.73,14.3,0
SO-700080,61.63,12.45,0
SO-700081,224.34,12.45,0
SO-700082,354.15,14.3,336.41
SO-700083,76.26,12.45,0
SO-700084,195.63,12.45,0
SO-700085,212.49,18,214.47
SO-700086,340.49,10.6,101.26
SO-700087,216.39,16.15,120.21
SO-700088,75.1,8.75,0
SO-700089,141.84,10.6,0
SO-700090,63.93,8.75,0
SO-700091,51.07,10.6,0
SO-700092,40.29,8.75,0
SO-700093,62.17,12.45,0
SO-700094,152.82,12.45,107.16
SO-700095,58.37,10.6,0
SO-700096,144.37,14.3,0
SO-700097,193.87,16.15,270.57
SO-700098,155.87,14.3,214.96
SO-700099,104.87,12.45,0
SO-700100,81.83,14.3,135.36
SO-700101,70.71,12.45,0
SO-700102,79.73,6.9,0
SO-700103,36.73,10.6,0
SO-700104,56.03,12.45,0
SO-700105,116.67,16.15,67.2
SO-700106,136.23,14.3,81.34
SO-700107,232.75,14.3,244.47
SO-700108,169.81,12.45,0
SO-700109,131.81,14.3,0
SO-700110,107.25,16.15,77.01
SO-700111,36.9,10.6,0
SO-700112,64.96,10.6,0
SO-700113,124.61,10.6,86.4
SO-700114,72.41,12.45,0
SO-700115,144.42,16.15,48.95
SO-700116,162.21,14.3,58.75
SO-700117,55.75,10.6,0
SO-700118,199.49,18,0
SO-700119,27.46,6.9,0
SO-700120,48.72,8.75,0
SO-700121,42.16,8.75,0
SO-700122,87.33,10.6,0
SO-700123,78.37,12.45,0
SO-700124,124.59,12.45,0
SO-700125,144.48,12.45,103.77
SO-700126,127.95,18,77.2
SO-700127,61.46,10.6,109.26
SO-700128,56.15,14.3,0
SO-700129,146.04,12.45,72.38
SO-700130,202.09,8.75,0
SO-700131,78.82,14.3,78.01
SO-700132,75.79,12.45,0
SO-700133,189.99,16.15,65.97
SO-700134,365.99,12.45,244.8
SO-700135,59.58,12.45,170.81
SO-700136,58.2,10.6,0
SO-700137,67.71,10.6,56.86
SO-700138,237.2,14.3,194.91
SO-700139,239.93,14.3,186.86
SO-700140,119.22,18,125.1
SO-700141,42.22,12.45,0
SO-700142,266.78,14.3,204.2
SO-700143,48.31,10.6,0
SO-700144,143.01,14.3,0
SO-700145,174.19,12.45,0
SO-700146,146.02,10.6,0
SO-700147,86.66,12.45,0
SO-700148,213.64,12.45,57.01
SO-700149,132.68,12.45,0
SO-700150,30.54,6.9,0
SO-700151,70.59,14.3,0
SO-700152,74.89,10.6,0
SO-700153,187.64,18,132.2
SO-700154,249.8,14.3,42.78
SO-700155,78.85,14.3,43.87
SO-700156,179.25,14.3,0
SO-700157,289.62,16.15,300.23
SO-700158,111.38,8.75,0
SO-700159,64.43,8.75,0
SO-700160,73.39,14.3,0
SO-700161,172.97,14.3,163.77
SO-700162,166.31,14.3,80.92
SO-700163,149.51,14.3,0
SO-700164,83.85,10.6,58.19
SO-700165,293.24,12.45,182.85
SO-700166,136.49,12.45,0
SO-700167,200.37,18,0
SO-700168,269.96,12.45,208.13
SO-700169,227.71,14.3,176.25
SO-700170,53.34,12.45,0
SO-700171,101.77,18,74.22
SO-700172,66.61,6.9,0
SO-700173,135.82,14.3,0
SO-700174,279.32,16.15,359.41
SO-700175,31.18,6.9,0
SO-700176,90.66,8.75,0
SO-700177,73.69,8.75,0
SO-700178,151.51,18,175.34
SO-700179,137.05,12.45,0
SO-700180,45.12,8.75,0
SO-700181,130.14,8.75,0
SO-700182,125.62,12.45,0
SO-700183,219.82,14.3,0
SO-700184,161,14.3,0
SO-700185,115.31,12.45,0
SO-700186,126.48,12.45,112.49
SO-700187,118.93,12.45,87.1
SO-700188,120.39,10.6,0
SO-700189,114.15,12.45,0
SO-700190,460.71,16.15,206.54
SO-700191,214.78,12.45,63.44
SO-700192,252.5,18,0
SO-700193,83.89,8.75,0
SO-700194,99.72,8.75,0
SO-700195,83.94,10.6,0
SO-700196,297.85,18,135.56
SO-700197,87.47,12.45,0
SO-700198,73.88,10.6,83.93
SO-700199,149.08,10.6,59.8
SO-700200,84.5,14.3,0
SO-700201,359.98,16.15,383.91
SO-700202,294.17,14.3,243.48
SO-700203,145.04,18,204.5
SO-700204,180.37,14.3,153.71
SO-700205,125.75,8.75,0
SO-700206,77.25,14.3,0
SO-700207,406.05,10.6,282.48
SO-700208,98.39,16.15,129.75
SO-700209,261.64,14.3,0
SO-700210,414.96,18,163.15
SO-700211,74.24,10.6,0
SO-700212,73.41,16.15,0
SO-700213,67.19,8.75,0
SO-700214,90.23,14.3,0
SO-700215,49.63,8.75,0
SO-700216,364.51,16.15,297.42
SO-700217,160.77,14.3,0
SO-700218,144.35,18,91.32
SO-700219,148.66,16.15,152.75
SO-700220,119.42,8.75,0
SO-700221,143.02,10.6,0
SO-700222,86.7,10.6,0
SO-700223,109.61,6.9,0
SO-700224,173.4,14.3,0
SO-700225,46.25,10.6,0
SO-700226,76.7,8.75,0
SO-700227,51.18,12.45,0
SO-700228,81,10.6,0
SO-700229,20.63,8.75,0
SO-700230,131.08,14.3,239.66
SO-700231,53.47,10.6,0
SO-700232,76.46,10.6,0
SO-700233,84.73,12.45,0
SO-700234,46.1,10.6,0
SO-700235,248.15,14.3,160.88
SO-700236,169.57,12.45,117.51
SO-700237,88.09,14.3,0
SO-700238,265.46,14.3,358.8
SO-700239,73.86,14.3,36.33
SO-700240,130.61,16.15,131.33
SO-700241,54.66,10.6,0
SO-700242,161.58,14.3,93.5
SO-700243,97.16,14.3,0
SO-700244,24.22,6.9,0
SO-700245,86.23,10.6,0
SO-700246,340.05,14.3,365.52
SO-700247,32.45,6.9,0
SO-700248,93.85,10.6,0
SO-700249,93.61,10.6,0
SO-700250,70.87,16.15,83.68
SO-700251,91.88,14.3,0
SO-700252,61.31,8.75,0
SO-700253,73.22,12.45,0
SO-700254,36.72,10.6,0
SO-700255,137.35,10.6,0
SO-700256,103.49,10.6,98.17
SO-700257,128.23,12.45,0
SO-700258,125.63,12.45,0
SO-700259,41.59,10.6,0
SO-700260,64.59,8.75,0
SO-700261,129.72,14.3,0
SO-700262,153.62,14.3,76.09
SO-700263,34.83,8.75,0
SO-700264,81.22,14.3,58.87
SO-700265,102.24,14.3,0
SO-700266,92.87,10.6,0
SO-700267,67.81,10.6,0
SO-700268,141.35,10.6,0
SO-700269,93.29,12.45,0
SO-700270,135.86,8.75,0
SO-700271,76.22,8.75,0
SO-700272,142.56,10.6,0
SO-700273,52.01,10.6,0
SO-700274,74.03,14.3,0
SO-700275,80.12,10.6,0
SO-700276,82.11,10.6,0
SO-700277,41.03,12.45,0
SO-700278,46.29,8.75,0
SO-700279,138.52,18,63.86
SO-700280,65.34,8.75,0
SO-700281,48.43,10.6,0
SO-700282,186.14,18,0
SO-700283,92.02,14.3,165.54
SO-700284,80.47,8.75,0
SO-700285,49.56,10.6,0
SO-700286,144.57,12.45,0
SO-700287,159.05,16.15,176.97
SO-700288,159.67,16.15,145.2
SO-700289,68.28,8.75,0
SO-700290,108.78,12.45,145.43
SO-700291,167,16.15,0
SO-700292,101.16,12.45,161.25
SO-700293,107.75,12.45,0
SO-700294,29.74,8.75,0
SO-700295,57.5,12.45,0
SO-700296,93.96,10.6,88.88
SO-700297,113.17,8.75,0
SO-700298,112.96,14.3,0
SO-700299,178.45,14.3,320.58
SO-700300,67.65,14.3,0
SO-700301,261.58,18,114.96
SO-700302,61.36,10.6,0
SO-700303,133.38,14.3,125.26
SO-700304,119.34,12.45,0
SO-700305,37.95,6.9,0
SO-700306,189.11,18,123.39
SO-700307,25.19,8.75,0
SO-700308,61.14,10.6,0
SO-700309,203.85,14.3,352.42
SO-700310,73.43,14.3,0
SO-700311,59.16,10.6,24.15
SO-700312,22.99,8.75,0
SO-700313,201.09,14.3,0
SO-700314,144.88,12.45,0
SO-700315,220.48,16.15,222.6
SO-700316,236.28,16.15,243.62
SO-700317,76.62,10.6,58.97
SO-700318,44.95,6.9,0
SO-700319,414.75,16.15,357.46
SO-700320,252.23,12.45,119.14
SO-700321,54.91,14.3,0
SO-700322,64.99,12.45,49.34
SO-700323,62.31,12.45,0
SO-700324,54.66,8.75,0
SO-700325,92.46,14.3,0
SO-700326,58.51,12.45,0
SO-700327,173.27,14.3,0
SO-700328,22.69,8.75,0
SO-700329,60.79,10.6,147.09
SO-700330,41.04,6.9,0
SO-700331,89.03,12.45,130.65
SO-700332,230.57,16.15,193.99
SO-700333,206.2,18,156.2
SO-700334,56.62,12.45,0
SO-700335,176.14,18,0
SO-700336,80.33,8.75,0
SO-700337,214.5,16.15,133.68
SO-700338,137.27,10.6,249.86
SO-700339,27.87,6.9,0
SO-700340,74.96,12.45,0
SO-700341,100.52,16.15,205.4
SO-700342,65.81,8.75,0
SO-700343,65.35,12.45,0
SO-700344,66.06,12.45,0
SO-700345,66.77,14.3,0
SO-700346,104.82,14.3,0
SO-700347,145.77,14.3,0
SO-700348,177.74,14.3,0
SO-700349,40.8,8.75,0
SO-700350,77.37,12.45,0
SO-700351,178.86,14.3,117.84
SO-700352,85.63,14.3,0
SO-700353,149.64,14.3,0
SO-700354,136.13,10.6,56.71
SO-700355,101.73,10.6,0
SO-700356,63.64,6.9,0
SO-700357,119.1,18,147.15
SO-700358,100.72,12.45,0
SO-700359,149.74,12.45,334.02
SO-700360,160,12.45,0
SO-700361,61.14,12.45,0
SO-700362,217.51,14.3,0
SO-700363,150.05,10.6,121.16
SO-700364,491.03,16.15,346.54
SO-700365,184.51,16.15,0
SO-700366,37.5,12.45,45.07
SO-700367,138.29,14.3,0
SO-700368,47.35,12.45,0
SO-700369,108.79,16.15,0
SO-700370,56.31,10.6,0
SO-700371,77.61,10.6,0
SO-700372,94.62,10.6,0
SO-700373,79.2,8.75,0
SO-700374,45.07,8.75,0
SO-700375,48.3,12.45,0
SO-700376,225.24,10.6,252.51
SO-700377,110.88,12.45,0
SO-700378,216.82,12.45,199.64
SO-700379,94.79,14.3,0
SO-700380,162.75,8.75,0
SO-700381,101.71,18,0
SO-700382,52.66,10.6,0
SO-700383,57.13,14.3,0
SO-700384,185.08,14.3,0
SO-700385,114.95,14.3,0
SO-700386,201.05,18,0
SO-700387,120.14,12.45,0
SO-700388,125.25,12.45,0
SO-700389,119.78,12.45,0
SO-700390,37.99,8.75,0
SO-700391,96.69,14.3,0
SO-700392,156.35,12.45,0
SO-700393,68.87,8.75,0
SO-700394,69.01,14.3,0
SO-700395,237.14,18,111.75
SO-700396,46.68,12.45,0
SO-700397,68.62,10.6,0
SO-700398,198.81,14.3,63.54
SO-700399,135.19,8.75,0
SO-700400,147.66,16.15,124.75
SO-700401,55.07,6.9,0
SO-700402,159.41,14.3,0
SO-700403,214.37,16.15,0
SO-700404,147.32,8.75,0
SO-700405,150.18,14.3,0
SO-700406,108.44,10.6,0
SO-700407,117.03,12.45,0
SO-700408,146.66,14.3,0
SO-700409,105.35,10.6,99.03
SO-700410,93.36,12.45,0
SO-700411,58.01,8.75,0
SO-700412,47.81,8.75,0
SO-700413,253.74,14.3,0
SO-700414,139.88,12.45,0
SO-700415,90.73,12.45,0
SO-700416,99.26,14.3,102.22
SO-700417,102.51,12.45,0
SO-700418,55.26,8.75,0
SO-700419,123.2,10.6,88.99
SO-700420,133.02,14.3,0
SO-700421,50.5,12.45,0
SO-700422,123.23,10.6,109.77
