customer_id,customer_name,channel,region,city,credit_terms_days,rep_id,rebate_pct,onboarded_date
CUS-5001,Freshmark #01,Modern Trade,South,Northvale,60,REP-103,0,2024-06-01
CUS-5002,Freshmark #02,Modern Trade,North,Kestrel Bay,30,REP-107,0,2020-03-08
CUS-5003,Freshmark #03,MODERN TRADE,Coastal,Northvale,30,REP-105,0,2021-03-30
CUS-5004,Freshmark #04,Modern Trade,North,Lakeside,30,REP-102,0,2020-09-27
CUS-5005,Freshmark #05,Modern Trade,Central,Portmere,14,REP-101,0,2019-03-23
CUS-5006,Cityline Foods #01,Modern Trade,Coastal,Kestrel Bay,30,REP-105,0.04,2017-07-22
CUS-5007,Cityline Foods #02 ,modern trade,East,Ashford,30,REP-104,0.04,2018-10-19
CUS-5008,Cityline Foods #03,MODERN TRADE,East,Stonebridge,30,REP-104,0.04,2022-12-12
CUS-5009,Cityline Foods #04,Modern Trade,Central,Ashford,30,REP-111,0,2023-10-23
CUS-5010,Cityline Foods #05,Modern Trade,Central,Kestrel Bay,30,REP-111,0.03,2024-06-13
CUS-5011,Greenbay Super #01,Modern Trade,Coastal,Marlowe,60,REP-110,0.05,2020-11-30
CUS-5012,Greenbay Super #02,Modern Trade,South,Highfield,30,REP-108,0,2018-06-18
CUS-5013,Greenbay Super #03,Modern Trade,South,Stonebridge,45,REP-108,0.02,2023-07-16
CUS-5014,  Greenbay Super #04,Modern Trade,South,Highfield,45,REP-108,0.02,2017-09-28
CUS-5015,Greenbay Super #05,Modern Trade,North,Highfield,60,REP-107,0,2017-12-25
CUS-5016,Unity Grocer #01,Modern Trade,South,Kestrel Bay,30,REP-103,0.04,2017-11-06
CUS-5017,Unity Grocer #02,Modern Trade,North,Highfield,30,REP-107,0,2019-07-18
CUS-5018,Unity Grocer #03,Modern Trade,East,Kestrel Bay,30,REP-104,0.03,2020-07-14
CUS-5019,Unity Grocer #04,Modern Trade,North,Ashford,30,REP-107,0,2024-06-01
CUS-5020,  Unity Grocer #05,Modern Trade,Central,Lakeside,30,REP-101,0,2022-10-06
CUS-5021,Parkview Market #01,Modern Trade,North,Highfield,14,REP-102,0.05,2022-11-14
CUS-5022,Parkview Market #02,Modern Trade,South,Northvale,30,REP-103,0.05,2019-04-14
CUS-5023,Parkview Market #03,Modern Trade,East,Northvale,60,REP-109,0,2021-12-16
CUS-5024,Parkview Market #04,MODERN TRADE,East,Portmere,45,REP-109,0.02,2018-11-09
CUS-5025,Parkview Market #05,Modern Trade,North,Ashford,45,REP-112,0.02,2018-02-26
CUS-5026,  Eastgate Foods #01,Modern Trade,Coastal,Stonebridge,14,REP-105,0.02,2019-04-06
CUS-5027,Eastgate Foods #02,Modern Trade,Central,Northvale,30,REP-106,0.04,2021-12-09
CUS-5028,Eastgate Foods #03,Modern Trade,Coastal,Kestrel Bay,30,REP-105,0.05,2022-02-01
CUS-5029,Eastgate Foods #04,Modern Trade,Central,Kestrel Bay,60,REP-101,0.03,2023-08-30
CUS-5030,Eastgate Foods #05,Modern Trade,North,Ashford,30,REP-102,0.05,2021-03-28
CUS-5031,Silverleaf Stores #01,Modern Trade,Central,Kestrel Bay,30,REP-111,0.04,2023-11-25
CUS-5032,Silverleaf Stores #02,Modern Trade,South,Northvale,14,REP-108,0.05,2018-04-29
CUS-5033,Silverleaf Stores #03,Modern Trade,North,Stonebridge,30,REP-107,0,2024-04-12
CUS-5034,Silverleaf Stores #04,Modern Trade,East,Stonebridge,30,REP-109,0.04,2018-10-15
CUS-5035,Silverleaf Stores #05,Modern Trade,Central,Marlowe,45,REP-106,0.03,2018-10-14
CUS-5036,  Harbour Fresh #01,Modern Trade,Coastal,Stonebridge,30,REP-110,0.04,2020-06-06
CUS-5037,Harbour Fresh #02,Modern Trade,North,Ridgeway,45,REP-107,0.03,2017-09-03
CUS-5038,Harbour Fresh #03,Modern Trade,South,Ridgeway,45,REP-108,0,2022-08-21
CUS-5039,Harbour Fresh #04,Modern Trade,East,Ridgeway,60,REP-109,0.03,2023-08-27
CUS-5040,Harbour Fresh #05,MODERN TRADE,Central,Ashford,30,REP-101,0,2018-08-04
CUS-5041,Summit Cash & Carry Depot,Wholesale,South,Highfield,30,REP-103,0.06,2020-05-07
CUS-5042,Summit Cash & Carry Branch,Wholesale,South,Northvale,30,REP-103,0.06,2022-07-13
CUS-5043,Summit Cash & Carry Hub,Wholesale,Central,Fairmount,30,REP-111,0.06,2018-08-05
CUS-5044,Bulkline Traders Depot,Wholesale,East,Lakeside,14,REP-109,0.04,2022-06-02
CUS-5045,Bulkline Traders Branch,Wholesale,South,Marlowe,30,REP-108,0.04,2024-01-11
CUS-5046,Bulkline Traders Hub,Wholesale,Coastal,Fairmount,45,REP-105,0.04,2017-11-07
CUS-5047,Riverstone Wholesale Depot,Wholesale,North,Portmere,30,REP-107,0.06,2023-08-31
CUS-5048,Riverstone Wholesale Branch ,Wholesale,Coastal,Highfield,30,REP-110,0.05,2018-06-05
CUS-5049,Riverstone Wholesale Hub,Wholesale,Coastal,Lakeside,45,REP-105,0.04,2019-12-25
