snapshot_date,warehouse_code,sku,units_on_hand,units_in_transit
2024-09-02,WH-01,MP-1001,721,248
2024-09-02,WH-02,MP-1001,153,43
2024-09-02,WH-03,MP-1001,894,271
2024-09-02,WH-01,MP-1002,1047,280
2024-09-02,WH-02,MP-1002,193,94
2024-09-02,WH-03,MP-1002,1408,257
2024-09-02,WH-01,MP-1003,315,24
2024-09-02,WH-02,MP-1003,69,22
2024-09-02,WH-03,MP-1003,471,122
2024-09-02,WH-01,MP-1004,371,6
2024-09-02,WH-02,MP-1004,154,45
2024-09-02,WH-03,MP-1004,659,2
2024-09-02,WH-01,MP-1005,369,150
2024-09-02,WH-02,MP-1005,104,31
2024-09-02,WH-03,MP-1005,281,56
2024-09-02,WH-01,MP-1006,601,154
2024-09-02,WH-02,MP-1006,273,68
2024-09-02,WH-03,MP-1006,414,10
2024-09-02,WH-01,MP-1007,454,125
2024-09-02,WH-02,MP-1007,138,30
2024-09-02,WH-03,MP-1007,273,36
2024-09-02,WH-01,MP-1008,1447,555
2024-09-02,WH-02,MP-1008,405,93
2024-09-02,WH-03,MP-1008,747,30
2024-09-02,WH-01,MP-1009,481,150
2024-09-02,WH-02,MP-1009,132,62
2024-09-02,WH-03,MP-1009,316,66
2024-09-02,WH-01,MP-1010,267,101
2024-09-02,WH-02,MP-1010,143,56
2024-09-02,WH-03,MP-1010,376,109
2024-09-02,WH-01,MP-1011,626,21
2024-09-02,WH-02,MP-1011,189,1
2024-09-02,WH-03,MP-1011,412,14
2024-09-02,WH-01,MP-1012,1232,488
2024-09-02,WH-02,MP-1012,534,119
2024-09-02,WH-03,MP-1012,1053,128
2024-09-02,WH-01,MP-1013,293,83
2024-09-02,WH-02,MP-1013,131,57
2024-09-02,WH-03,MP-1013,213,31
2024-09-02,WH-01,MP-1014,623,168
2024-09-02,WH-02,MP-1014,188,19
2024-09-02,WH-03,MP-1014,380,0
2024-09-02,WH-01,MP-1015,405,76
2024-09-02,WH-02,MP-1015,180,18
2024-09-02,WH-03,MP-1015,500,99
2024-09-02,WH-01,MP-1016,918,183
2024-09-02,WH-02,MP-1016,499,138
2024-09-02,WH-03,MP-1016,447,44
2024-09-02,WH-01,MP-1017,817,250
2024-09-02,WH-02,MP-1017,242,15
2024-09-02,WH-03,MP-1017,515,136
2024-09-02,WH-01,MP-1018,1139,64
2024-09-02,WH-02,MP-1018,496,32
2024-09-02,WH-03,MP-1018,684,18
2024-09-02,WH-01,MP-1019,463,72
2024-09-02,WH-02,MP-1019,123,16
2024-09-02,WH-03,MP-1019,302,87
2024-09-02,WH-01,MP-1020,1357,117
2024-09-02,WH-02,MP-1020,440,57
2024-09-02,WH-03,MP-1020,706,155
2024-09-02,WH-01,MP-1021,246,22
2024-09-02,WH-02,MP-1021,80,16
2024-09-02,WH-03,MP-1021,104,6
2024-09-02,WH-01,MP-1022,363,169
2024-09-02,WH-02,MP-1022,106,45
2024-09-02,WH-03,MP-1022,331,49
2024-09-02,WH-01,MP-1023,93,2
2024-09-02,WH-02,MP-1023,228,27
2024-09-02,WH-03,MP-1023,56,39
2024-09-02,WH-01,MP-1024,41,43
2024-09-02,WH-02,MP-1024,228,18
2024-09-02,WH-03,MP-1024,25,29
2024-09-02,WH-01,MP-1025,85,172
2024-09-02,WH-02,MP-1025,228,53
2024-09-02,WH-03,MP-1025,48,105
2024-09-02,WH-01,MP-1026,44,2
2024-09-02,WH-02,MP-1026,228,20
2024-09-02,WH-03,MP-1026,27,10
2024-09-02,WH-01,MP-1027,362,58
2024-09-02,WH-02,MP-1027,146,31
2024-09-02,WH-03,MP-1027,183,6
2024-09-02,WH-01,MP-1028,243,55
2024-09-02,WH-02,MP-1028,109,4
2024-09-02,WH-03,MP-1028,115,31
2024-09-02,WH-01,MP-1029,485,7
2024-09-02,WH-02,MP-1029,152,34
2024-09-02,WH-03,MP-1029,296,84
2024-09-02,WH-01,MP-1030,364,107
2024-09-02,WH-02,MP-1030,108,19
2024-09-02,WH-03,MP-1030,214,53
2024-09-02,WH-01,MP-1031,240,85
2024-09-02,WH-02,MP-1031,89,50
2024-09-02,WH-03,MP-1031,189,23
2024-09-02,WH-01,MP-1032,762,57
2024-09-02,WH-02,MP-1032,133,39
2024-09-02,WH-03,MP-1032,181,4
2024-09-02,WH-01,MP-1033,222,44
2024-09-02,WH-02,MP-1033,170,47
2024-09-02,WH-03,MP-1033,160,34
2024-09-02,WH-01,MP-1034,858,317
2024-09-02,WH-02,MP-1034,288,117
2024-09-02,WH-03,MP-1034,338,170
2024-09-02,WH-01,MP-1035,751,113
2024-09-02,WH-02,MP-1035,204,75
2024-09-02,WH-03,MP-1035,430,34
2024-09-02,WH-01,MP-1036,1115,59
2024-09-02,WH-02,MP-1036,300,10
2024-09-02,WH-03,MP-1036,488,214
2024-09-02,WH-01,MP-1037,2109,370
2024-09-02,WH-02,MP-1037,463,162
2024-09-02,WH-03,MP-1037,678,346
2024-09-02,WH-01,MP-1038,916,254
2024-09-02,WH-02,MP-1038,351,135
2024-09-02,WH-03,MP-1038,554,179
2024-09-02,WH-01,MP-1039,374,131
2024-09-02,WH-02,MP-1039,168,53
2024-09-02,WH-03,MP-1039,213,23
2024-09-02,WH-01,MP-1040,772,130
2024-09-02,WH-02,MP-1040,320,85
2024-09-02,WH-03,MP-1040,356,60
2024-09-02,WH-01,MP-1041,185,87
2024-09-02,WH-02,MP-1041,67,26
2024-09-02,WH-03,MP-1041,153,52
2024-09-02,WH-01,MP-1042,582,148
2024-09-02,WH-02,MP-1042,178,39
2024-09-02,WH-03,MP-1042,178,77
2024-09-02,WH-01,MP-1043,915,18
2024-09-02,WH-02,MP-1043,273,116
2024-09-02,WH-03,MP-1043,355,134
2024-09-02,WH-01,MP-1044,605,144
2024-09-02,WH-02,MP-1044,251,18
2024-09-02,WH-03,MP-1044,210,38
2024-09-02,WH-01,MP-1045,613,20
2024-09-02,WH-02,MP-1045,186,44
2024-09-02,WH-03,MP-1045,141,52
2024-09-02,WH-01,MP-1046,515,179
