order_line_id,order_id,sku,quantity,unit_price,discount_pct,line_revenue,promo_id
SOL-900001,SO-700001,MP-1015,21,31.42,10.29,591.9,
SOL-900002,SO-700001,MP-1008,27,24.38,9.22,597.54,
SOL-900003,SO-700001,MP-1061,20,28.62,9.57,517.64,
SOL-900004,SO-700001,MP-1030,61,34.17,7.97,1918.19,
SOL-900005,SO-700001,MP-1034,27,11.57,9.19,283.67,
SOL-900006,SO-700001,MP-1041,34,31.85,8.71,988.56,
SOL-900007,SO-700001,MP-1012,14,18.22,7.82,235.12,
SOL-900008,SO-700002,MP-1052,13,64.3,4.58,797.63,
SOL-900009,SO-700002,MP-1038,15,23.13,4.74,330.5,
SOL-900010,SO-700002,MP-1040,10,25.93,4.55,247.49,
SOL-900011,SO-700003,MP-1011,12,29,5.79,327.85,
SOL-900012,SO-700003,MP-1020,6,24.96,4.69,142.74,
SOL-900013,SO-700003,MP-1128,19,34.36,3.69,628.75,
SOL-900014,SO-700003,MP-1117,23,38.97,4.66,854.57,
SOL-900015,SO-700003,MP-1037,20,25.26,2.47,492.74,
SOL-900016,SO-700003,MP-1115,11,38.92,4.39,409.31,
SOL-900017,SO-700004,MP-1040,25,26.24,7.38,607.58,
SOL-900018,SO-700004,MP-1065,12,27.07,8.69,296.62,
SOL-900019,SO-700004,MP-1036,23,35.63,8.22,752.14,
SOL-900020,SO-700004,MP-1067,13,17.65,7.33,212.64,
SOL-900021,SO-700004,MP-1126,23,69.24,8.22,1461.58,
SOL-900022,SO-700004,MP-1116,31,41.98,7.32,"1,206.13",
SOL-900023,SO-700004,MP-1017,31,44.37,9.04,1251.14,
SOL-900024,SO-700005,MP-1026,8,28.28,1.18,223.57,
SOL-900025,SO-700005,MP-1008,7,24.76,1.2,171.24,
SOL-900026,SO-700006,MP-1120,11,34.24,9.36,341.39,
SOL-900027,SO-700006,MP-1007,10,21.48,8.38,196.81,
SOL-900028,SO-700006,MP-1043,21,10.87,8.69,208.42,
SOL-900029,SO-700006,MP-1105,8,26.62,7.86,196.21,
SOL-900030,SO-700007,MP-1050,11,31.95,3.58,338.88,
SOL-900031,SO-700007,MP-1037,8,24.93,3.05,193.36,
SOL-900032,SO-700007,MP-1059,6,23.64,1.05,140.36,
SOL-900033,SO-700007,MP-1099,6,11.52,2.04,67.71,
SOL-900034,SO-700007,MP-1004,8,12.82,2.43,100.07,
SOL-900035,SO-700007,MP-1091,8,43.81,3.37,338.65,
SOL-900036,SO-700008,MP-1057,13,28.43,3.5,356.65,
SOL-900037,SO-700008,MP-1109,22,10.47,4.75,219.4,
