order_id,freight_cost,handling_cost,rebate_amount
SO-700001,2533.9,145.35,2771.45
SO-700002,566.47,78.75,0
SO-700003,1592.3,128.7,0
SO-700004,3109.01,145.35,0
SO-700005,236.49,62.1,0
SO-700006,612.44,95.4,0
SO-700007,632.27,128.7,0
SO-700008,411.61,78.75,0
SO-700009,731.93,128.7,0
SO-700010,598.41,95.4,314.77
SO-700011,898.64,128.7,0
SO-700012,349.08,112.05,0
SO-700013,632.31,95.4,0
SO-700014,1650.13,128.7,0
SO-700015,431.41,95.4,0
SO-700016,771.45,112.05,865.71
SO-700017,369.27,95.4,0
SO-700018,757.95,78.75,0
SO-700019,1065.64,145.35,2213.59
SO-700020,1144.07,95.4,0
SO-700021,1966.05,128.7,1681.42
SO-700022,2728.56,162,1498.8
SO-700023,913.37,112.05,919.23
SO-700024,2585.27,145.35,"3,034.01"
SO-700025,635.48,95.4,0
SO-700026,3072.91,162,0
SO-700027,1474.87,112.05,0
SO-700028,1296.83,112.05,0
SO-700029,817.64,162,0
SO-700030,968.05,62.1,0
SO-700031,900.7,145.35,0
SO-700032,1256.34,95.4,0
SO-700033,275.18,95.4,0
SO-700034,1467.9,145.35,583.53
SO-700035,754.36,95.4,0
SO-700036,400.65,62.1,0
SO-700037,654.51,112.05,0
SO-700038,314.29,78.75,0
SO-700039,384.55,112.05,0
SO-700040,788.88,112.05,1027.19
SO-700041,1129.57,95.4,0
SO-700042,624.58,78.75,0
SO-700043,452.99,95.4,303.13
SO-700044,472.07,95.4,0
SO-700045,386.58,78.75,0
SO-700046,1199.94,112.05,1105.51
SO-700047,1713.34,128.7,459.61
SO-700048,518.01,78.75,0
SO-700049,2868.95,112.05,1214.37
SO-700050,1794.39,112.05,0
SO-700051,1176.64,95.4,415.81
SO-700052,1997.45,128.7,2152.64
SO-700053,1335.27,112.05,0
SO-700054,783.72,128.7,1233.01
SO-700055,793.52,128.7,0
SO-700056,1390.68,112.05,0
SO-700057,436.5,95.4,0
SO-700058,718.45,78.75,0
SO-700059,697.95,95.4,0
SO-700060,891.46,95.4,729.14
SO-700061,954.19,112.05,0
SO-700062,855.46,128.7,0
SO-700063,1387.63,112.05,0
SO-700064,1458.5,112.05,0
SO-700065,1812.64,145.35,0
SO-700066,3071.12,128.7,3305.24
SO-700067,2119.8,162,566.36
SO-700068,1473.06,162,0
SO-700069,3276.26,112.05,2186.09
SO-700070,1496.3,112.05,0
SO-700071,1058.31,145.35,0
SO-700072,271.41,78.75,0
SO-700073,540.08,95.4,0
SO-700074,2107.13,145.35,0
SO-700075,338.94,78.75,0
SO-700076,705.54,112.05,0
SO-700077,1113.34,78.75,0
SO-700078,2686.58,145.35,3041.71
SO-700079,1167.59,128.7,0
SO-700080,519.4,112.05,0
SO-700081,1822.22,112.05,0
SO-700082,3410.54,128.7,"3,027.63"
SO-700083,727.65,112.05,0
SO-700084,1632.41,112.05,0
SO-700085,1731.48,162,1930.24
SO-700086,2872.04,95.4,911.36
SO-700087,1820.21,145.35,1081.81
SO-700088,633.08,78.75,0
SO-700089,1183.57,95.4,0
SO-700090,594.92,78.75,0
SO-700091,441.79,95.4,0
SO-700092,349.63,78.75,0
SO-700093,595.1,112.05,0
SO-700094,1374.26,112.05,964.5
SO-700095,486.82,95.4,0
SO-700096,1209.46,128.7,0
SO-700097,1866.74,145.35,2435.06
SO-700098,1597.21,128.7,1934.65
SO-700099,936.59,112.05,0
SO-700100,722.38,128.7,1218.3
SO-700101,590.45,112.05,0
SO-700102,752.92,62.1,0
SO-700103,350.53,95.4,0
SO-700104,498.41,112.05,0
SO-700105,1107.95,145.35,604.82
SO-700106,1153.31,128.7,732.02
SO-700107,1894.57,128.7,"2,200.30"
SO-700108,1420.89,112.05,0
SO-700109,1105.61,128.7,0
SO-700110,1022.91,145.35,693.08
SO-700111,321.49,95.4,0
SO-700112,577.3,95.4,0
SO-700113,1051.26,95.4,777.64
SO-700114,647.32,112.05,0
SO-700115,1209.9,145.35,440.6
SO-700116,1367.5,128.7,528.65
SO-700117,535.69,95.4,0
SO-700118,1742.14,162,0
SO-700119,246.41,62.1,0
SO-700120,461.88,78.75,0
SO-700121,347.52,78.75,0
SO-700122,830.26,95.4,0
SO-700123,744.64,112.05,0
SO-700124,1187.54,112.05,0
