customer_id,customer_name,channel,region,city,credit_terms_days,rep_id,rebate_pct,onboarded_date
CUS-5001,Kloofview Foods #01,Modern Trade,Eastern Cape,Polokwane,60,REP-104,0,2024-06-01
CUS-5002,Kloofview Foods #02,Modern Trade,Western Cape,Durban,30,REP-109,0,2020-03-08
CUS-5003,Kloofview Foods #03,MODERN TRADE,Mpumalanga,Mbombela,30,REP-106,0,2021-03-30
CUS-5004,Kloofview Foods #04,Modern Trade,KwaZulu-Natal,Tembisa,30,REP-102,0,2020-09-27
CUS-5005,Kloofview Foods #05,Modern Trade,Gauteng,East London,14,REP-101,0,2019-03-23
CUS-5006,Highveld Grocer #01,Modern Trade,Mpumalanga,Durban,30,REP-106,0.04,2017-07-22
CUS-5007,Highveld Grocer #02 ,modern trade,Eastern Cape,Bloemfontein,30,REP-104,0.04,2018-10-19
CUS-5008,Highveld Grocer #03,MODERN TRADE,Free State,Umlazi,30,REP-105,0.04,2022-12-12
CUS-5009,Highveld Grocer #04,Modern Trade,Gauteng,Bloemfontein,30,REP-107,0,2023-10-23
CUS-5010,Highveld Grocer #05,Modern Trade,Gauteng,Durban,30,REP-107,0.03,2024-06-13
CUS-5011,Baywater Market #01,Modern Trade,Mpumalanga,Pretoria,60,REP-112,0.05,2020-11-30
CUS-5012,Baywater Market #02,Modern Trade,Eastern Cape,Rustenburg,30,REP-110,0,2018-06-18
CUS-5013,Baywater Market #03,Modern Trade,Eastern Cape,Umlazi,45,REP-110,0.02,2023-07-16
CUS-5014,  Baywater Market #04,Modern Trade,Eastern Cape,Soweto,45,REP-110,0.02,2017-09-28
CUS-5015,Baywater Market #05,Modern Trade,KwaZulu-Natal,Rustenburg,60,REP-108,0,2017-12-25
CUS-5016,Umdoni Fresh #01,Modern Trade,Eastern Cape,Gqeberha,30,REP-104,0.04,2017-11-06
CUS-5017,Umdoni Fresh #02,Modern Trade,KwaZulu-Natal,Rustenburg,30,REP-102,0,2019-07-18
CUS-5018,Umdoni Fresh #03,Modern Trade,Free State,Gqeberha,30,REP-105,0.03,2020-07-14
CUS-5019,Umdoni Fresh #04,Modern Trade,Western Cape,Bloemfontein,30,REP-103,0,2024-06-01
CUS-5020,  Umdoni Fresh #05,Modern Trade,Gauteng,Tembisa,30,REP-101,0,2022-10-06
CUS-5021,Sandhurst Provisions #01,Modern Trade,Western Cape,Soweto,14,REP-103,0.05,2022-11-14
CUS-5022,Sandhurst Provisions #02,Modern Trade,Western Cape,Polokwane,30,REP-103,0.05,2019-04-14
CUS-5023,Sandhurst Provisions #03,Modern Trade,Eastern Cape,Polokwane,60,REP-110,0,2021-12-16
CUS-5024,Sandhurst Provisions #04,MODERN TRADE,Free State,East London,45,REP-111,0.02,2018-11-09
CUS-5025,Sandhurst Provisions #05,Modern Trade,KwaZulu-Natal,Bloemfontein,45,REP-108,0.02,2018-02-26
CUS-5026,  Table Bay Foods #01,Modern Trade,Mpumalanga,Khayelitsha,14,REP-106,0.02,2019-04-06
CUS-5027,Table Bay Foods #02,Modern Trade,Gauteng,Polokwane,30,REP-107,0.04,2021-12-09
CUS-5028,Table Bay Foods #03,Modern Trade,Mpumalanga,Gqeberha,30,REP-106,0.05,2022-02-01
