snapshot_date,warehouse_code,sku,units_on_hand,units_in_transit
2024-09-02,WH-01,MP-1001,1416,487
2024-09-02,WH-02,MP-1001,146,41
2024-09-02,WH-03,MP-1001,343,104
2024-09-02,WH-01,MP-1002,1881,503
2024-09-02,WH-02,MP-1002,186,90
2024-09-02,WH-03,MP-1002,594,108
2024-09-02,WH-01,MP-1003,594,45
2024-09-02,WH-02,MP-1003,65,20
2024-09-02,WH-03,MP-1003,192,49
2024-09-02,WH-01,MP-1004,686,11
2024-09-02,WH-02,MP-1004,144,42
2024-09-02,WH-03,MP-1004,272,1
2024-09-02,WH-01,MP-1005,491,199
2024-09-02,WH-02,MP-1005,86,26
2024-09-02,WH-03,MP-1005,164,33
2024-09-02,WH-01,MP-1006,809,207
2024-09-02,WH-02,MP-1006,230,58
2024-09-02,WH-03,MP-1006,234,5
2024-09-02,WH-01,MP-1007,580,159
2024-09-02,WH-02,MP-1007,115,25
2024-09-02,WH-03,MP-1007,175,23
2024-09-02,WH-01,MP-1008,2049,787
2024-09-02,WH-02,MP-1008,346,80
2024-09-02,WH-03,MP-1008,371,15
2024-09-02,WH-01,MP-1009,641,200
2024-09-02,WH-02,MP-1009,116,55
2024-09-02,WH-03,MP-1009,174,37
2024-09-02,WH-01,MP-1010,391,149
2024-09-02,WH-02,MP-1010,122,48
2024-09-02,WH-03,MP-1010,170,49
2024-09-02,WH-01,MP-1011,860,29
2024-09-02,WH-02,MP-1011,165,1
2024-09-02,WH-03,MP-1011,216,8
2024-09-02,WH-01,MP-1012,1736,688
2024-09-02,WH-02,MP-1012,444,99
2024-09-02,WH-03,MP-1012,536,65
2024-09-02,WH-01,MP-1013,392,112
2024-09-02,WH-02,MP-1013,122,53
2024-09-02,WH-03,MP-1013,114,17
2024-09-02,WH-01,MP-1014,840,227
2024-09-02,WH-02,MP-1014,164,16
2024-09-02,WH-03,MP-1014,207,0
2024-09-02,WH-01,MP-1015,573,108
2024-09-02,WH-02,MP-1015,158,16
2024-09-02,WH-03,MP-1015,247,49
2024-09-02,WH-01,MP-1016,1202,240
2024-09-02,WH-02,MP-1016,398,110
2024-09-02,WH-03,MP-1016,280,27
2024-09-02,WH-01,MP-1017,1087,333
2024-09-02,WH-02,MP-1017,197,12
2024-09-02,WH-03,MP-1017,305,81
2024-09-02,WH-01,MP-1018,1499,84
2024-09-02,WH-02,MP-1018,409,26
2024-09-02,WH-03,MP-1018,391,10
2024-09-02,WH-01,MP-1019,636,98
2024-09-02,WH-02,MP-1019,97,13
2024-09-02,WH-03,MP-1019,167,48
2024-09-02,WH-01,MP-1020,1780,153
2024-09-02,WH-02,MP-1020,358,46
2024-09-02,WH-03,MP-1020,424,93
2024-09-02,WH-01,MP-1021,322,28
2024-09-02,WH-02,MP-1021,66,13
2024-09-02,WH-03,MP-1021,64,4
2024-09-02,WH-01,MP-1022,472,220
2024-09-02,WH-02,MP-1022,93,40
2024-09-02,WH-03,MP-1022,189,28
2024-09-02,WH-01,MP-1023,125,3
2024-09-02,WH-02,MP-1023,228,20
2024-09-02,WH-03,MP-1023,34,24
2024-09-02,WH-01,MP-1024,53,55
2024-09-02,WH-02,MP-1024,228,15
2024-09-02,WH-03,MP-1024,16,18
2024-09-02,WH-01,MP-1025,110,222
2024-09-02,WH-02,MP-1025,228,41
2024-09-02,WH-03,MP-1025,30,65
2024-09-02,WH-01,MP-1026,59,3
2024-09-02,WH-02,MP-1026,228,16
2024-09-02,WH-03,MP-1026,16,6
2024-09-02,WH-01,MP-1027,437,70
2024-09-02,WH-02,MP-1027,119,25
2024-09-02,WH-03,MP-1027,128,4
2024-09-02,WH-01,MP-1028,291,66
2024-09-02,WH-02,MP-1028,84,3
2024-09-02,WH-03,MP-1028,89,24
2024-09-02,WH-01,MP-1029,569,8
2024-09-02,WH-02,MP-1029,132,29
2024-09-02,WH-03,MP-1029,214,61
2024-09-02,WH-01,MP-1030,440,130
2024-09-02,WH-02,MP-1030,91,16
2024-09-02,WH-03,MP-1030,140,35
2024-09-02,WH-01,MP-1031,286,101
2024-09-02,WH-02,MP-1031,69,39
2024-09-02,WH-03,MP-1031,142,17
2024-09-02,WH-01,MP-1032,932,70
2024-09-02,WH-02,MP-1032,99,29
2024-09-02,WH-03,MP-1032,133,3
2024-09-02,WH-01,MP-1033,277,54
2024-09-02,WH-02,MP-1033,145,40
2024-09-02,WH-03,MP-1033,101,21
2024-09-02,WH-01,MP-1034,1108,409
2024-09-02,WH-02,MP-1034,235,96
2024-09-02,WH-03,MP-1034,204,102
2024-09-02,WH-01,MP-1035,929,140
2024-09-02,WH-02,MP-1035,178,66
2024-09-02,WH-03,MP-1035,276,22
2024-09-02,WH-01,MP-1036,1420,76
2024-09-02,WH-02,MP-1036,243,8
2024-09-02,WH-03,MP-1036,309,136
2024-09-02,WH-01,MP-1037,2839,497
2024-09-02,WH-02,MP-1037,386,135
2024-09-02,WH-03,MP-1037,365,186
2024-09-02,WH-01,MP-1038,1169,324
2024-09-02,WH-02,MP-1038,298,114
2024-09-02,WH-03,MP-1038,339,109
2024-09-02,WH-01,MP-1039,480,169
2024-09-02,WH-02,MP-1039,130,41
2024-09-02,WH-03,MP-1039,138,15
2024-09-02,WH-01,MP-1040,1015,171
2024-09-02,WH-02,MP-1040,262,70
2024-09-02,WH-03,MP-1040,210,35
2024-09-02,WH-01,MP-1041,240,113
2024-09-02,WH-02,MP-1041,54,21
2024-09-02,WH-03,MP-1041,95,32
2024-09-02,WH-01,MP-1042,674,172
2024-09-02,WH-02,MP-1042,133,29
2024-09-02,WH-03,MP-1042,151,65
2024-09-02,WH-01,MP-1043,1117,23
2024-09-02,WH-02,MP-1043,221,94
2024-09-02,WH-03,MP-1043,235,88
2024-09-02,WH-01,MP-1044,707,168
2024-09-02,WH-02,MP-1044,189,13
2024-09-02,WH-03,MP-1044,176,32
2024-09-02,WH-01,MP-1045,720,23
2024-09-02,WH-02,MP-1045,155,37
2024-09-02,WH-03,MP-1045,98,36
2024-09-02,WH-01,MP-1046,648,225
2024-09-02,WH-02,MP-1046,217,74
2024-09-02,WH-03,MP-1046,201,27
2024-09-02,WH-01,MP-1047,1802,192
2024-09-02,WH-02,MP-1047,462,93
2024-09-02,WH-03,MP-1047,431,77
2024-09-02,WH-01,MP-1048,935,264
2024-09-02,WH-02,MP-1048,222,65
2024-09-02,WH-03,MP-1048,314,70
2024-09-02,WH-01,MP-1049,297,11
2024-09-02,WH-02,MP-1049,80,16
