order_line_id,order_id,sku,quantity,unit_price,discount_pct,line_revenue,promo_id
SOL-900001,SO-700001,MP-1015,21,282.77,10.29,"5,326.91",
SOL-900002,SO-700001,MP-1008,27,219.38,9.22,5376.85,
SOL-900003,SO-700001,MP-1061,20,257.57,9.57,4658.56,
SOL-900004,SO-700001,MP-1030,61,307.49,7.97,17261.49,
SOL-900005,SO-700001,MP-1034,27,104.16,9.19,2553.75,
SOL-900006,SO-700001,MP-1041,34,286.66,8.71,8897.34,
SOL-900007,SO-700001,MP-1012,14,163.97,7.82,2115.98,
SOL-900008,SO-700002,MP-1052,13,578.73,4.58,7179.03,
SOL-900009,SO-700002,MP-1038,15,208.13,4.74,2973.9,
SOL-900010,SO-700002,MP-1040,10,233.34,4.55,2227.13,
SOL-900011,SO-700003,MP-1011,12,261.03,5.79,2950.96,
SOL-900012,SO-700003,MP-1020,6,224.62,4.69,1284.52,
SOL-900013,SO-700003,MP-1128,19,309.26,3.69,5659.13,
SOL-900014,SO-700003,MP-1117,23,350.74,4.66,7691.37,
SOL-900015,SO-700003,MP-1037,20,227.31,2.47,4434.11,
SOL-900016,SO-700003,MP-1115,11,350.29,4.39,3683.93,
SOL-900017,SO-700004,MP-1040,25,236.17,7.38,5468.41,
SOL-900018,SO-700004,MP-1065,12,243.58,8.69,2669.05,
SOL-900019,SO-700004,MP-1036,23,320.64,8.22,6768.58,
SOL-900020,SO-700004,MP-1067,13,158.89,7.33,1914.2,
SOL-900021,SO-700004,MP-1126,23,623.12,8.22,13153.35,
SOL-900022,SO-700004,MP-1116,31,377.84,7.32,"10,855.73",
SOL-900023,SO-700004,MP-1017,31,399.3,9.04,11259.45,
SOL-900024,SO-700005,MP-1026,8,254.54,1.18,2012.25,
SOL-900025,SO-700005,MP-1008,7,222.86,1.2,1541.34,
SOL-900026,SO-700006,MP-1120,11,308.19,9.36,3072.84,
SOL-900027,SO-700006,MP-1007,10,193.32,8.38,1771.25,
SOL-900028,SO-700006,MP-1043,21,97.87,8.69,1876.57,
SOL-900029,SO-700006,MP-1105,8,239.59,7.86,1765.98,
SOL-900030,SO-700007,MP-1050,11,287.59,3.58,3050.33,
SOL-900031,SO-700007,MP-1037,8,224.4,3.05,1740.48,
SOL-900032,SO-700007,MP-1059,6,212.74,1.05,1263.09,
SOL-900033,SO-700007,MP-1099,6,103.71,2.04,609.57,
SOL-900034,SO-700007,MP-1004,8,115.34,2.43,900.34,
SOL-900035,SO-700007,MP-1091,8,394.26,3.37,3047.64,
SOL-900036,SO-700008,MP-1057,13,255.83,3.5,3209.35,
SOL-900037,SO-700008,MP-1109,22,94.21,4.75,1974.16,
SOL-900038,SO-700008,MP-1029,5,350.88,2.56,1709.48,
SOL-900039,SO-700009,MP-1129,8,275.26,3.29,2129.6,
SOL-900040,SO-700009,MP-1008,10,229.28,4.8,2182.71,
SOL-900041,SO-700009,MP-1015,10,285.7,4.39,2731.55,
SOL-900042,SO-700009,MP-1081,5,217.89,3.77,1048.4,
SOL-900043,SO-700009,MP-1111,17,259.11,3.15,4266.24,
SOL-900044,SO-700009,MP-1098,9,102.21,4.69,876.79,
SOL-900045,SO-700010,MP-1117,11,358.9,8.32,3619.24,
SOL-900046,SO-700010,MP-1128,9,304.87,8.36,2514.38,
SOL-900047,SO-700010,MP-1036,10,320.4,9.9,2886.79,
SOL-900048,SO-700010,MP-1108,17,94.87,8.73,1471.97,
SOL-900049,SO-700011,MP-1020,12,224.29,2.88,2613.93,
SOL-900050,SO-700011,MP-1018,11,308.59,3.06,"3,290.69",
SOL-900051,SO-700011,MP-1066,12,177.11,2.83,2065.13,
SOL-900052,SO-700011,MP-1115,35,348.7,3.01,11836.9,
SOL-900053,SO-700011,MP-1073,20,323.5,4.48,6180.11,
