order_id,order_date,customer_id,warehouse_code,rep_id,order_status,payment_terms_days
SO-700001,02/09/2024,CUS-5050,WH-03,REP-109,Delivered,45
SO-700002,2024-09-02,CUS-5178,WH-01,REP-112,Delivered,45
SO-700003,2024-09-02,CUS-5294,WH-01,REP-111,Delivered,14
SO-700004,2024-09-02,CUS-5038,WH-01,REP-110,Delivered,45
SO-700005,02/09/2024,CUS-5418,WH-02,REP-102,Delivered,30
SO-700006,02/09/2024,CUS-5001,WH-01,REP-104,Delivered,60
SO-700007,2024-09-02,CUS-5076,WH-02,REP-108,Delivered,14
SO-700008,2024-09-02,CUS-5172,WH-01,REP-106,Delivered,30
SO-700009,2024-09-02,CUS-5106,WH-01,REP-110,Delivered,14
SO-700010,02/09/2024,CUS-5037,WH-02,REP-102,Delivered,45
SO-700011,2024-09-02,CUS-5241,WH-03,REP-109,Delivered,30
SO-700012,02/09/2024,CUS-5466,WH-01,REP-110,Delivered,14
SO-700013,2024-09-02,CUS-5148,WH-01,REP-112,Delivered,45
SO-700014,02/09/2024,CUS-5330,WH-01,REP-111,Delivered,14
SO-700015,2024-09-02,CUS-5216,WH-01,REP-104,Delivered,30
SO-700016,2024-09-02,CUS-5043,WH-01,REP-107,Delivered,30
SO-700017,02/09/2024,CUS-5131,WH-02,REP-108,Delivered,30
SO-700018,2024-09-02,CUS-5350,WH-02,REP-102,Delivered,14
SO-700019,2024-09-02,CUS-5041,WH-03,REP-103,Delivered,30
SO-700020,2024-09-02,CUS-5311,WH-01,REP-112,Delivered,60
SO-700021,2024-09-02,CUS-5048,WH-01,REP-112,Returned,30
SO-700022,2024-09-02,CUS-5007,WH-01,REP-104,Delivered,30
SO-700023,2024-09-02,CUS-5028,WH-01,REP-106,Delivered,30
SO-700024,2024-09-02,CUS-5041,WH-03,REP-103,Delivered,30
SO-700025,2024-09-02,CUS-5119,WH-01,REP-110,Delivered,30
SO-700026,02/09/2024,CUS-5033,WH-02,REP-102,Delivered,30
SO-700027,02/09/2024,CUS-5146,WH-01,REP-106,Delivered,30
SO-700028,2024-09-02,CUS-5458,WH-01,REP-104,Delivered,30
SO-700029,02/09/2024,CUS-5005,WH-01,REP-101,Delivered,14
SO-700030,2024-09-02,CUS-5408,WH-03,REP-109,Delivered,30
SO-700031,02/09/2024,CUS-5003,WH-01,REP-106,Cancelled,30
SO-700032,02/09/2024,CUS-5385,WH-02,REP-102,Delivered,30
SO-700033,02/09/2024,CUS-5303,WH-01,REP-111,Delivered,45
SO-700034,2024-09-02,CUS-5026,WH-01,REP-106,Delivered,14
SO-700035,2024-09-02,CUS-5017,WH-02,REP-102,Delivered,30
SO-700036,02/09/2024,CUS-5463,WH-01,REP-112,Delivered,60
SO-700037,02/09/2024,CUS-5109,WH-01,REP-101,Delivered,30
SO-700038,2024-09-02,CUS-5469,WH-03,REP-109,Delivered,30
SO-700039,2024-09-02,CUS-5009,WH-01,REP-107,Delivered,30
SO-700040,2024-09-02,CUS-5053,WH-01,REP-112,Delivered,30
SO-700041,2024-09-02,CUS-5392,WH-01,REP-111,Delivered,30
SO-700042,02/09/2024,CUS-5120,WH-01,REP-105,Delivered,14
SO-700043,2024-09-02,CUS-5025,WH-02,REP-108,Delivered,45
SO-700044,02/09/2024,CUS-5135,WH-01,REP-111,Delivered,14
SO-700045,02/09/2024,CUS-5475,WH-02,REP-102,Delivered,30
SO-700046,2024-09-02,CUS-5055,WH-01,REP-105,Delivered,14
SO-700047,2024-09-02,CUS-5013,WH-01,REP-110,Delivered,45
SO-700048,2024-09-02,CUS-5472,WH-01,REP-104,Delivered,30
SO-700049,2024-09-02,CUS-5048,WH-01,REP-112,Delivered,30
SO-700050,2024-09-02,CUS-5104,WH-01,REP-110,Delivered,60
SO-700051,2024-09-02,CUS-5014,WH-01,REP-110,Delivered,45
SO-700052,2024-09-02,CUS-5041,WH-03,REP-103,Delivered,30
SO-700053,2024-09-02,CUS-5117,WH-02,REP-108,Delivered,30
SO-700054,2024-09-02,CUS-5011,WH-01,REP-112,Delivered,60
SO-700055,2024-09-02,CUS-5302,WH-01,REP-112,Delivered,30
SO-700056,2024-09-02,CUS-5012,WH-01,REP-110,Delivered,30
SO-700057,02/09/2024,CUS-5476,WH-01,REP-106,Delivered,30
SO-700058,2024-09-02,CUS-5461,WH-01,REP-112,Delivered,14
SO-700059,2024-09-02,CUS-5246,WH-01,REP-105,Returned,30
SO-700060,2024-09-02,CUS-5022,WH-03,REP-103,Delivered,30
SO-700061,2024-09-02,CUS-5200,WH-01,REP-110,Delivered,60
SO-700062,2024-09-02,CUS-5151,WH-01,REP-110,Delivered,30
SO-700063,2024-09-02,CUS-5124,WH-03,REP-109,Delivered,60
SO-700064,02/09/2024,CUS-5090,WH-01,REP-105,Delivered,14
SO-700065,2024-09-02,CUS-5023,WH-01,REP-110,Delivered,60
SO-700066,2024-09-02,CUS-5051,WH-01,REP-106,Delivered,14
SO-700067,02/09/2024,CUS-5013,WH-01,REP-110,Delivered,45
SO-700068,2024-09-02,CUS-5023,WH-01,REP-110,Delivered,60
SO-700069,02/09/2024,CUS-5041,WH-03,REP-103,Delivered,30
SO-700070,2024-09-02,CUS-5318,WH-01,REP-106,Delivered,30
SO-700071,2024-09-02,CUS-5017,WH-02,REP-102,Delivered,30
SO-700072,2024-09-02,CUS-5232,WH-01,REP-101,Delivered,60
SO-700073,02/09/2024,CUS-5485,WH-01,REP-105,Delivered,60
SO-700074,2024-09-02,CUS-5038,WH-01,REP-110,Delivered,45
SO-700075,02/09/2024,CUS-5090,WH-01,REP-105,Delivered,14
SO-700076,2024-09-02,CUS-5255,WH-01,REP-112,Delivered,60
SO-700077,2024-09-02,CUS-5415,WH-01,REP-106,Delivered,45
SO-700078,2024-09-02,CUS-5041,WH-03,REP-103,Delivered,30
SO-700079,02/09/2024,CUS-5367,WH-02,REP-102,Cancelled,30
SO-700080,02/09/2024,CUS-5338,WH-01,REP-111,Delivered,45
SO-700081,2024-09-02,CUS-5284,WH-03,REP-109,Cancelled,45
SO-700082,2024-09-02,CUS-5052,WH-01,REP-112,Delivered,60
SO-700083,2024-09-02,CUS-5311,WH-01,REP-112,Delivered,60
SO-700084,2024-09-02,CUS-5358,WH-02,REP-102,Delivered,30
SO-700085,2024-09-02,CUS-5022,WH-03,REP-103,Delivered,30
SO-700086,02/09/2024,CUS-5018,WH-01,REP-105,Delivered,30
SO-700087,2024-09-02,CUS-5034,WH-01,REP-111,Delivered,30
SO-700088,2024-09-02,CUS-5310,WH-01,REP-105,Delivered,60
SO-700089,02/09/2024,CUS-5033,WH-02,REP-102,Delivered,30
SO-700090,2024-09-02,CUS-5389,WH-01,REP-106,Delivered,30
SO-700091,2024-09-02,CUS-5005,WH-01,REP-101,Delivered,14
SO-700092,2024-09-02,CUS-5085,WH-03,REP-109,Delivered,30
SO-700093,02/09/2024,CUS-5318,WH-01,REP-106,Delivered,30
SO-700094,02/09/2024,CUS-5043,WH-01,REP-107,Delivered,30
SO-700095,02/09/2024,CUS-5336,WH-02,REP-108,Delivered,30
SO-700096,2024-09-02,CUS-5070,WH-01,REP-105,Delivered,30
SO-700097,2024-09-02,CUS-5028,WH-01,REP-106,Delivered,30
SO-700098,02/09/2024,CUS-5055,WH-01,REP-105,Delivered,14
SO-700099,2024-09-02,CUS-5023,WH-01,REP-110,Delivered,60
SO-700100,2024-09-03,CUS-5043,WH-01,REP-107,Delivered,30
SO-700101,2024-09-03,CUS-5070,WH-01,REP-105,Delivered,30
SO-700102,2024-09-03,CUS-5432,WH-01,REP-104,Delivered,30
SO-700103,2024-09-03,CUS-5245,WH-01,REP-106,Delivered,60
SO-700104,2024-09-03,CUS-5388,WH-01,REP-101,Cancelled,60
SO-700105,2024-09-03,CUS-5036,WH-01,REP-112,Delivered,30
SO-700106,2024-09-03,CUS-5034,WH-01,REP-111,Delivered,30
SO-700107,03/09/2024,CUS-5050,WH-03,REP-109,Delivered,45
SO-700108,2024-09-03,CUS-5033,WH-02,REP-102,Delivered,30
SO-700109,03/09/2024,CUS-5371,WH-02,REP-102,Delivered,45
SO-700110,03/09/2024,CUS-5011,WH-01,REP-112,Delivered,60
SO-700111,2024-09-03,CUS-5352,WH-01,REP-107,Delivered,14
SO-700112,2024-09-03,CUS-5411,WH-01,REP-101,Delivered,30
SO-700113,2024-09-03,CUS-5008,WH-01,REP-105,Cancelled,30
SO-700114,2024-09-03,CUS-5005,WH-01,REP-101,Delivered,14
SO-700115,2024-09-03,CUS-5025,WH-02,REP-108,Delivered,45
SO-700116,03/09/2024,CUS-5044,WH-01,REP-111,Delivered,14
SO-700117,2024-09-03,CUS-5171,WH-01,REP-112,Delivered,30
SO-700118,2024-09-03,CUS-5002,WH-03,REP-109,Delivered,30
SO-700119,2024-09-03,CUS-5460,WH-01,REP-107,Delivered,30
SO-700120,2024-09-03,CUS-5212,WH-01,REP-104,Delivered,60
SO-700121,03/09/2024,CUS-5088,WH-02,REP-102,Delivered,14
SO-700122,03/09/2024,CUS-5257,WH-01,REP-110,Delivered,45
SO-700123,2024-09-03,CUS-5297,WH-01,REP-112,Delivered,60
SO-700124,2024-09-03,CUS-5119,WH-01,REP-110,Delivered,30
SO-700125,03/09/2024,CUS-5053,WH-01,REP-112,Delivered,30
SO-700126,2024-09-03,CUS-5039,WH-01,REP-110,Delivered,60
SO-700127,2024-09-03,CUS-5006,WH-01,REP-106,Delivered,30
SO-700128,03/09/2024,CUS-5005,WH-01,REP-101,Delivered,14
SO-700129,2024-09-03,CUS-5014,WH-01,REP-110,Delivered,45
SO-700130,2024-09-03,CUS-5400,WH-01,REP-110,Delivered,30
SO-700131,03/09/2024,CUS-5011,WH-01,REP-112,Delivered,60
SO-700132,2024-09-03,CUS-5306,WH-03,REP-109,Delivered,30
SO-700133,2024-09-03,CUS-5025,WH-02,REP-108,Delivered,45
SO-700134,2024-09-03,CUS-5052,WH-01,REP-112,Delivered,60
SO-700135,2024-09-03,CUS-5043,WH-01,REP-107,Delivered,30
SO-700136,03/09/2024,CUS-5079,WH-01,REP-104,Delivered,30
SO-700137,2024-09-03,CUS-5028,WH-01,REP-106,Delivered,30
SO-700138,2024-09-03,CUS-5047,WH-02,REP-102,Delivered,30
SO-700139,2024-09-03,CUS-5050,WH-03,REP-109,Delivered,45
SO-700140,03/09/2024,CUS-5011,WH-01,REP-112,Delivered,60
SO-700141,03/09/2024,CUS-5299,WH-03,REP-109,Delivered,30
SO-700142,2024-09-03,CUS-5007,WH-01,REP-104,Delivered,30
SO-700143,2024-09-03,CUS-5289,WH-01,REP-111,Delivered,30
SO-700144,2024-09-03,CUS-5116,WH-01,REP-106,Delivered,14
SO-700145,2024-09-03,CUS-5180,WH-01,REP-106,Delivered,45
SO-700146,03/09/2024,CUS-5198,WH-01,REP-110,Delivered,30
SO-700147,2024-09-03,CUS-5111,WH-01,REP-110,Delivered,30
SO-700148,2024-09-03,CUS-5014,WH-01,REP-110,Delivered,45
SO-700149,03/09/2024,CUS-5003,WH-01,REP-106,Delivered,30
SO-700150,03/09/2024,CUS-5408,WH-03,REP-109,Delivered,30
