customer_id,customer_name,sector,contract_type,home_depot_code,sla_hours,billing_terms_days
CUS-7001,Highveld Retail Group,Building materials,Dedicated,KES-JHB,24,60
CUS-7002,Cape Union Foods,Pharmaceutical,Dedicated,KES-CPT,24,30
CUS-7003,Umgeni Building Supplies,Automotive,Dedicated,KES-DBN,24,30
CUS-7004,Cape Union Holdings (Pty) Ltd,Agriculture,Contract,KES-CPT,48,30
CUS-7005,Alrode Logistics Partners,Automotive,Contract,KES-JHB,48,30
CUS-7006,Bellville Logistics Partners,Pharmaceutical,Contract,KES-CPT,48,30
CUS-7007,Highveld Manufacturing,Industrial,Contract,KES-DBN,48,30
CUS-7008,Boland Industries,Building materials,Contract,KES-JHB,48,60
CUS-7009,Germiston Foods ,Pharmaceutical,Contract,KES-DBN,48,45
CUS-7010,Boland Logistics Partners,Building materials,Contract,KES-DBN,48,30
CUS-7011,Sandton Foods,FMCG,Contract,KES-DBN,48,30
CUS-7012,Pinetown Supplies,Building materials,Contract,KES-CPT,48,45
CUS-7013,Drakens Holdings,Retail,Contract,KES-CPT,48,30
CUS-7014,Zambezi Trading (Pty) Ltd,FMCG,Contract,KES-JHB,48,60
CUS-7015,Alrode Manufacturing,Industrial,Contract,KES-JHB,48,60
CUS-7016,Montague Industries,Pharmaceutical,Contract,KES-JHB,48,30
CUS-7017,Epping Wholesalers,Pharmaceutical,Contract,KES-CPT,48,30
CUS-7018,Sandton Manufacturing,Pharmaceutical,Contract,KES-CPT,48,30
CUS-7019,Midrand Logistics Partners,Automotive,Contract,KES-CPT,48,30
CUS-7020,Riverhorse Logistics Partners,Industrial,Contract,KES-DBN,48,30
CUS-7021,Atlantis Industries,Automotive,Contract,KES-CPT,48,30
CUS-7022,Boland Steel,Industrial,Contract,KES-CPT,48,30
CUS-7023,Isando Distributors,FMCG,Contract,KES-JHB,48,45
CUS-7024,Sandton Supplies,Automotive,Contract,KES-CPT,48,30
CUS-7025,Drakens Wholesalers,Retail,Contract,KES-CPT,48,45
CUS-7026,Drakens Industries,Building materials,Contract,KES-JHB,48,30
CUS-7027,  Umgeni Holdings,Retail,Contract,KES-DBN,48,30
CUS-7028,Montague Supplies,Agriculture,Contract,KES-CPT,48,30
CUS-7029,Alrode Trading,Agriculture,Contract,KES-CPT,48,30
CUS-7030,Bellville Manufacturing,Building materials,Contract,KES-JHB,48,30
CUS-7031,Isando Foods,Building materials,Contract,KES-DBN,48,45
CUS-7032,Midrand Manufacturing,Industrial,Contract,KES-CPT,48,45
CUS-7033,Bellville Wholesalers,Pharmaceutical,Contract,KES-JHB,48,30
CUS-7034,Highveld Wholesalers,FMCG,Contract,KES-DBN,48,45
CUS-7035,Springfield Industries,FMCG,Contract,KES-JHB,48,30
CUS-7036,Pinetown Foods,Agriculture,Contract,KES-DBN,48,45
CUS-7037,Umgeni Steel,Building materials,Contract,KES-DBN,48,30
CUS-7038,Germiston Supplies,Building materials,Spot,KES-DBN,72,45
CUS-7039,Germiston Wholesalers,FMCG,Spot,KES-DBN,72,30
CUS-7040,Drakens Trading,Agriculture,Spot,KES-CPT,72,30
CUS-7041,Epping Trading,FMCG,Spot,KES-CPT,72,30
CUS-7042,Isando Wholesalers,Pharmaceutical,Spot,KES-DBN,72,30
CUS-7043,Silverton Foods,Building materials,Spot,KES-DBN,72,30
CUS-7044,Bellville Supplies,Agriculture,Spot,KES-DBN,72,30
CUS-7045,Sandton Logistics Partners,Building materials,Spot,KES-JHB,72,60
CUS-7046,Boland Distributors,Retail,Spot,KES-JHB,72,45
CUS-7047,Umgeni Manufacturing,Industrial,Spot,KES-JHB,72,30
CUS-7048,Montague Distributors,Industrial,Spot,KES-DBN,72,30
CUS-7049,Cape Union Steel,Retail,Spot,KES-DBN,72,30
CUS-7050,Pinetown Holdings,Automotive,Spot,KES-DBN,72,30
CUS-7051,Sandton Wholesalers,Agriculture,Spot,KES-DBN,72,30
CUS-7052,Karoo Steel,Building materials,Spot,KES-CPT,72,30
CUS-7053,Silverton Logistics Partners,Industrial,Spot,KES-JHB,72,30
CUS-7054,Riverhorse Foods ,FMCG,Spot,KES-JHB,72,60
CUS-7055,Springfield Steel,Retail,Spot,KES-JHB,72,45
CUS-7056,Umgeni Trading,Automotive,Spot,KES-DBN,72,45
CUS-7057,Zambezi Wholesalers,Automotive,Spot,KES-CPT,72,45
CUS-7058,Cape Union Distributors,Automotive,Spot,KES-DBN,72,30
CUS-7059,Springfield Trading,Building materials,Spot,KES-DBN,72,45
CUS-7060,Isando Industries,Building materials,Spot,KES-JHB,72,30
