fuel_txn_id,txn_datetime,vehicle_id,driver_id,litres,price_per_litre,cost_zar,odometer_km,site
FUEL-800001,2024-09-02 18:42,VEH-2005,DRV-421,"285,07",20.52,5849.64,712316,Sasol Truck Stop
FUEL-800002,2024-09-03 06:27,VEH-2011,DRV-445,273.37,20.52,5609.55,369459,Highway 1 Stop
FUEL-800003,2024-09-02 15:51,VEH-2007,DRV-450,284.98,20.52,5847.79,778719,Sasol Truck Stop
FUEL-800004,2024-09-03 02:53,VEH-2012,DRV-415,"278,47",20.52,5714.2,716725,N3 Truck Plaza
FUEL-800005,2024-09-02 12:43,VEH-2009,DRV-442,266.37,20.52,5465.91,161362,N3 Truck Plaza
FUEL-800006,2024-09-03 03:26,VEH-2009,DRV-416,264.16,20.52,5420.56,161934,Sasol Truck Stop
FUEL-800007,2024-09-03 04:20,VEH-2022,DRV-437,526.05,20.52,10794.55,685263,Sasol Truck Stop
FUEL-800008,2024-09-03 23:40,VEH-2029,DRV-411,437.82,20.52,8984.07,726020,Sasol Truck Stop
FUEL-800009,2024-09-02 23:44,VEH-2011,DRV-448,624.72,20.52,12819.25,370829,Sasol Truck Stop
FUEL-800010,2024-09-04 00:44,VEH-2018,DRV-433,577.39,20.52,11848.04,634949,Engen Ultra
FUEL-800011,2024-09-02 18:38,VEH-2015,DRV-446,436.39,20.52,8954.72,148683,Highway 1 Stop
FUEL-800012,2024-09-03 10:37,VEH-2014,DRV-421,400.12,20.52,8210.46,575193,N3 Truck Plaza
FUEL-800013,2024-09-02 15:25,VEH-2011,DRV-444,497.06,20.52,10199.67,371888,N3 Truck Plaza
FUEL-800014,2024-09-03 12:28,VEH-2015,DRV-415,395.45,20.52,8114.63,149744,Sasol Truck Stop
FUEL-800015,2024-09-02 17:40,VEH-2032,DRV-413,165.03,20.52,3386.42,313849,N3 Truck Plaza
FUEL-800016,2024-09-03 06:34,VEH-2023,DRV-435,151.16,20.52,3101.8,363747,Engen Ultra
FUEL-800017,2024-09-02 15:08,VEH-2029,DRV-416,153.29,20.52,3145.51,726415,Sasol Truck Stop
FUEL-800018,2024-09-02 19:10,VEH-2031,DRV-434,119.86,20.52,2459.53,291645,N3 Truck Plaza
FUEL-800019,2024-09-02 13:10,VEH-2010,DRV-404,159.25,20.52,3267.81,661249,Sasol Truck Stop
FUEL-800020,2024-09-03 00:16,VEH-2009,DRV-431,129.98,20.52,2667.19,162268,Highway 1 Stop
FUEL-800021,2024-09-02 07:58,VEH-2008,DRV-429,159.77,20.52,3278.48,520833,Sasol Truck Stop
FUEL-800022,2024-09-03 02:47,VEH-2003,DRV-450,"150,98",20.52,3098.11,400301,Highway 1 Stop
FUEL-800023,2024-09-02 15:54,VEH-2030,DRV-411,131.82,20.52,2704.95,287892,Depot Bulk Tank
FUEL-800024,2024-09-02 20:41,VEH-2024,DRV-411,118.91,20.52,2440.03,606909,Highway 1 Stop
FUEL-800025,2024-09-02 07:17,VEH-2044,DRV-418,26.72,20.52,548.29,438190,Depot Bulk Tank
