maintenance_id,vehicle_id,job_date,job_type,cost_zar,downtime_hours,odometer_km
MNT-300001,VEH-2029,2024-09-02,Repair,9955.05,21.27,628619
MNT-300002,VEH-2011,2024-09-03,Repair,17452.96,23.83,644036
MNT-300003,VEH-2017,2024-09-04,Tyres,9092.54,14.01,514898
MNT-300004,VEH-2004,2024-09-05,Service,6625.05,5.67,235784
MNT-300005,VEH-2069,2024-09-06,Service,5941.55,6.34,655181
MNT-300006,VEH-2027,2024-09-07,Service,7691.29,5.34,748998
MNT-300007,VEH-2002,2024-09-09,Repair,21177.48,10.88,574904
MNT-300008,VEH-2090,2024-09-10,Service,5728.57,1,650406
MNT-300009,VEH-2063,2024-09-11,Tyres,14464.03,10.83,443908
MNT-300010,VEH-2100,2024-09-12,Repair,14840.13,16.43,579190
MNT-300011,VEH-2094,2024-09-13,Tyres,5067.89,13.54,509928
MNT-300012,VEH-2118,2024-09-16,Tyres,1092.9,16.35,683595
MNT-300013,VEH-2117,2024-09-17,Service,1347.77,12.93,325451
MNT-300014,VEH-2050,2024-09-18,Repair,748.01,16.1,466955
MNT-300015,VEH-2028,2024-09-21,Repair,4796.78,19.62,390095
MNT-300016,VEH-2026,2024-09-24,Repair,10362.16,6.66,182186
MNT-300017,VEH-2099,2024-09-25,Service,8693.08,9.1,674459
MNT-300018,VEH-2001,2024-09-27,Repair,21814.4,21.78,700667
MNT-300019,VEH-2018,2024-09-28,Service,6321.1,5.03,481391
MNT-300020,VEH-2081,2024-09-30,Repair,2538.84,5.81,174122
MNT-300021,VEH-2064,2024-10-01,Repair,16468.12,1,459079
MNT-300022,VEH-2075,2024-10-03,Tyres,4661.34,9.38,388379
MNT-300023,VEH-2079,2024-10-04,Tyres,5371.64,8.38,678646
MNT-300024,VEH-2108,2024-10-07,Service,4866.15,1,753569
MNT-300025,VEH-2094,2024-10-08,Service,6924.19,8.18,520675
MNT-300026,VEH-2019,2024-10-09,Repair,17718.6,10.02,736009
MNT-300027,VEH-2010,2024-10-10,Service,7725.21,18.92,598872
MNT-300028,VEH-2074,2024-10-11,Repair,10637.46,19.44,444492
MNT-300029,VEH-2050,2024-10-12,Service,312.71,1,468092
MNT-300030,VEH-2098,2024-10-14,Repair,15260.23,10.85,238115
MNT-300031,VEH-2076,2024-10-16,Service,4219.8,1,397254
MNT-300032,VEH-2116,2024-10-17,Service,2597.76,11.79,443071
MNT-300033,VEH-2008,2024-10-18,Repair,11325.34,12.1,446685
MNT-300034,VEH-2101,2024-10-19,Repair,20797.8,6.93,162888
MNT-300035,VEH-2099,2024-10-21,Repair,14308.66,18.48,695027
MNT-300036,VEH-2038,2024-10-22,Service,3910.25,6.39,481968
MNT-300037,VEH-2078,2024-10-23,Repair,6678.66,18.5,527171
MNT-300038,VEH-2083,2024-10-25,Service,1249.01,6.85,541715
MNT-300039,VEH-2087,2024-10-26,Tyres,500.13,1,224431
MNT-300040,VEH-2118,2024-10-29,Service,1071.42,1,685683
MNT-300041,VEH-2050,2024-10-30,Repair,781.99,20.91,469091
MNT-300042,VEH-2079,2024-10-31,Tyres,5948.48,4.57,680614
MNT-300043,VEH-2095,2024-11-02,Repair,8336.87,22.76,476092
MNT-300044,VEH-2025,2024-11-05,Service,8127.38,1,269694
MNT-300045,VEH-2104,2024-11-06,Service,5483.49,14.68,182374
MNT-300046,VEH-2021,2024-11-07,Service,4570.08,7.86,370966
MNT-300047,VEH-2005,2024-11-08,Repair,16459.19,14.4,383467
MNT-300048,VEH-2041,2024-11-09,Tyres,5336.26,1,596712
MNT-300049,VEH-2095,2024-11-11,Repair,17060.57,27.89,478446
MNT-300050,VEH-2070,2024-11-12,Repair,5912.74,17.16,311945
MNT-300051,VEH-2091,2024-11-13,Repair,16239.42,21.26,597277
MNT-300052,VEH-2013,2024-11-14,Service,11497.04,3.23,282425
MNT-300053,VEH-2123,2024-11-15,Service,337.22,1,426382
MNT-300054,VEH-2087,2024-11-16,Service,520.55,2.35,225264
MNT-300055,VEH-2017,2024-11-18,Repair,22114.99,14.71,544939
MNT-300056,VEH-2122,2024-11-19,Service,378.54,7.43,150668
MNT-300057,VEH-2091,2024-11-20,Tyres,9359.07,1,597277
MNT-300058,VEH-2017,2024-11-21,Service,6238.54,3.37,545301
MNT-300059,VEH-2042,2024-11-22,Service,2094.76,9.32,551577
MNT-300060,VEH-2058,2024-11-23,Repair,14038.04,16.34,190544
MNT-300061,VEH-2084,2024-11-25,Repair,3953.3,19.16,641398
MNT-300062,VEH-2093,2024-11-26,Service,8677.81,3.34,556101
MNT-300063,VEH-2051,2024-11-27,Repair,608.41,14.22,280229
MNT-300064,VEH-2113,2024-11-28,Service,4560.45,1,699195
MNT-300065,VEH-2041,2024-11-29,Service,3898.55,14.06,598484
MNT-300066,VEH-2063,2024-11-30,Repair,4656.74,11.07,466619
MNT-300067,VEH-2056,2024-12-02,Service,6576.73,11.71,629326
MNT-300068,VEH-2105,2024-12-03,Repair,15150.3,22.32,466790
MNT-300069,VEH-2124,2024-12-04,Service,437.87,10.77,535205
MNT-300070,VEH-2086,2024-12-05,Repair,773.48,6.69,576696
MNT-300071,VEH-2038,2024-12-06,Repair,6306.26,8.89,485763
MNT-300072,VEH-2068,2024-12-07,Repair,11153.25,21.05,275966
MNT-300073,VEH-2035,2024-12-09,Repair,8413.3,5.42,428226
MNT-300074,VEH-2019,2024-12-10,Repair,14397.89,7.19,760704
MNT-300075,VEH-2051,2024-12-11,Service,372.88,7.16,281051
MNT-300076,VEH-2095,2024-12-12,Service,8041.17,4.69,502221
MNT-300077,VEH-2050,2024-12-13,Tyres,424.9,1,472407
MNT-300078,VEH-2023,2024-12-14,Repair,11565.39,11.92,325145
MNT-300079,VEH-2008,2024-12-16,Service,8891.79,13.04,476112
MNT-300080,VEH-2111,2024-12-17,Repair,6339.55,13.52,214789
MNT-300081,VEH-2070,2024-12-18,Repair,11282.41,15.65,326098
MNT-300082,VEH-2040,2024-12-19,Service,3444.47,8.06,142676
MNT-300083,VEH-2113,2024-12-20,Repair,8015.64,18.9,701185
MNT-300084,VEH-2109,2024-12-21,Repair,7477.56,21.6,432057
MNT-300085,VEH-2026,2024-12-23,Repair,9549.28,14.33,231372
MNT-300086,VEH-2006,2024-12-24,Repair,12629.29,16.67,601474
MNT-300087,VEH-2023,2024-12-25,Repair,12442,15.06,329390
MNT-300088,VEH-2111,2024-12-27,Tyres,5692.85,2.42,216068
MNT-300089,VEH-2024,2024-12-28,Repair,8383.95,12.28,784312
MNT-300090,VEH-2027,2025-01-01,Service,4111.17,1,824815
MNT-300091,VEH-2018,2025-01-02,Repair,13424.33,7.72,519030
MNT-300092,VEH-2039,2025-01-06,Service,4651.47,6.52,729806
MNT-300093,VEH-2013,2025-01-07,Tyres,10969.96,10.99,304940
MNT-300094,VEH-2104,2025-01-08,Tyres,7784.77,8.07,201173
MNT-300095,VEH-2017,2025-01-09,Repair,19131.34,13.63,565863
MNT-300096,VEH-2089,2025-01-10,Tyres,755.04,2.51,424347
MNT-300097,VEH-2103,2025-01-11,Repair,7719.97,17.76,374299
MNT-300098,VEH-2038,2025-01-13,Service,3867.46,4.04,490341
MNT-300099,VEH-2099,2025-01-14,Repair,17005.81,7.82,741537
MNT-300100,VEH-2070,2025-01-15,Service,7850.78,9.8,333781
MNT-300101,VEH-2055,2025-01-16,Service,7236.14,7.31,466363
MNT-300102,VEH-2072,2025-01-17,Repair,7480.13,11.25,803768
MNT-300103,VEH-2057,2025-01-20,Service,11265.52,10.95,472776
MNT-300104,VEH-2082,2025-01-21,Repair,4213.05,10.42,261126
MNT-300105,VEH-2073,2025-01-22,Tyres,14615.89,4.63,371348
MNT-300106,VEH-2028,2025-01-23,Service,6452.72,9.57,460503
MNT-300107,VEH-2113,2025-01-24,Repair,3669.13,15.45,703474
MNT-300108,VEH-2064,2025-01-25,Service,7979.91,6.78,500022
MNT-300109,VEH-2034,2025-01-27,Repair,8483.71,13.51,142833
MNT-300110,VEH-2085,2025-01-28,Tyres,4093.09,9.62,289526
MNT-300111,VEH-2103,2025-01-29,Tyres,8860.11,7.55,376691
MNT-300112,VEH-2108,2025-01-30,Repair,13594.04,11.73,784136
MNT-300113,VEH-2050,2025-01-31,Service,456.56,6.93,474718
MNT-300114,VEH-2096,2025-02-01,Service,9370.66,9.48,768079
MNT-300115,VEH-2059,2025-02-03,Service,6602.8,1,774854
MNT-300116,VEH-2069,2025-02-04,Repair,8784.64,11.96,695841
MNT-300117,VEH-2066,2025-02-06,Repair,16532.72,21.59,535930
MNT-300118,VEH-2011,2025-02-07,Service,11193.09,3.55,719746
MNT-300119,VEH-2087,2025-02-10,Service,283.13,1,227752
MNT-300120,VEH-2089,2025-02-11,Repair,774.13,6.71,424844
MNT-300121,VEH-2094,2025-02-12,Service,6497.73,1,584998
MNT-300122,VEH-2016,2025-02-13,Service,8072.54,4.25,366135
MNT-300123,VEH-2105,2025-02-14,Repair,14003.92,1,483952
MNT-300124,VEH-2072,2025-02-15,Tyres,14789.52,13.82,815858
MNT-300125,VEH-2076,2025-02-17,Service,3664.15,1,408360
MNT-300126,VEH-2101,2025-02-18,Tyres,9632.29,7.52,205464
MNT-300127,VEH-2027,2025-02-19,Service,4004.36,1,838686
MNT-300128,VEH-2092,2025-02-20,Tyres,3702.17,11.81,342918
MNT-300129,VEH-2040,2025-02-21,Service,3147.63,1,149336
MNT-300130,VEH-2032,2025-02-22,Tyres,4420.17,8.23,757839
MNT-300131,VEH-2047,2025-02-24,Service,1826.67,4.1,150994
MNT-300132,VEH-2036,2025-02-25,Repair,8666.19,8.1,173318
MNT-300133,VEH-2082,2025-02-26,Tyres,2702.41,15.62,263629
MNT-300134,VEH-2121,2025-02-27,Repair,615.03,5.19,197878
MNT-300135,VEH-2112,2025-02-28,Tyres,6769.38,1.96,203034
MNT-300136,VEH-2070,2025-03-01,Service,4583.53,6.17,344319
MNT-300137,VEH-2038,2025-03-03,Tyres,3179.52,11.3,493864
MNT-300138,VEH-2023,2025-03-04,Tyres,10538.07,1,351879
MNT-300139,VEH-2112,2025-03-05,Service,1414.78,1,203500
MNT-300140,VEH-2089,2025-03-06,Tyres,319.11,1.04,425184
MNT-300141,VEH-2084,2025-03-07,Repair,3783.92,14.28,649391
MNT-300142,VEH-2090,2025-03-08,Service,9504.71,1.81,743617
MNT-300143,VEH-2053,2025-03-10,Service,207.76,6.26,631757
MNT-300144,VEH-2045,2025-03-11,Service,2473.32,16.3,625027
MNT-300145,VEH-2008,2025-03-12,Tyres,9866,9.89,518222
MNT-300146,VEH-2115,2025-03-13,Service,3973.56,16.09,380268
MNT-300147,VEH-2102,2025-03-14,Repair,11142.06,12.65,553500
MNT-300148,VEH-2054,2025-03-15,Tyres,785.5,1,220027
MNT-300149,VEH-2070,2025-03-17,Repair,11516.34,13.9,348158
MNT-300150,VEH-2091,2025-03-19,Service,11588.63,1,633319
MNT-300151,VEH-2010,2025-03-20,Tyres,15611.19,19.02,672155
MNT-300152,VEH-2052,2025-03-21,Service,422.02,1.72,598581
MNT-300153,VEH-2053,2025-03-22,Tyres,60.31,4.67,632716
MNT-300154,VEH-2079,2025-03-24,Repair,3711.89,12.45,691882
MNT-300155,VEH-2045,2025-03-25,Service,1877.19,8.82,626982
MNT-300156,VEH-2062,2025-03-26,Service,4912.46,1,602805
MNT-300157,VEH-2001,2025-03-27,Service,8324.3,11.77,786761
MNT-300158,VEH-2085,2025-03-28,Repair,2308.98,22.12,295111
MNT-300159,VEH-2096,2025-03-29,Service,6909.7,1,795549
MNT-300160,VEH-2058,2025-03-31,Service,6794.69,8.22,234885
MNT-300161,VEH-2001,2025-04-02,Repair,9091.5,18.5,789051
MNT-300162,VEH-2047,2025-04-04,Repair,2766.17,23.14,153537
MNT-300163,VEH-2083,2025-04-05,Repair,4670.86,16.84,553969
MNT-300164,VEH-2114,2025-04-07,Repair,3491.23,19.76,474060
MNT-300165,VEH-2061,2025-04-09,Repair,22263.01,10.71,318632
MNT-300166,VEH-2023,2025-04-10,Tyres,6568.46,8.85,367841
MNT-300167,VEH-2036,2025-04-11,Service,4701.5,1,176918
MNT-300168,VEH-2095,2025-04-12,Repair,12154.57,7.86,553376
MNT-300169,VEH-2121,2025-04-14,Repair,915.82,20.84,200273
MNT-300170,VEH-2037,2025-04-15,Tyres,3446.52,6.25,335955
MNT-300171,VEH-2055,2025-04-16,Repair,7348.89,10.83,504318
MNT-300172,VEH-2003,2025-04-17,Repair,17644.7,16.77,579618
MNT-300173,VEH-2013,2025-04-18,Repair,8963.32,12.4,364726
