trip_id,driver_hours,driver_cost_zar,toll_cost_zar,fixed_cost_zar
TRP-500001,6.96,1009.36,378.13,2366.77
TRP-500002,7.48,1084.1,374.89,2542.02
TRP-500003,6.74,977.84,414.69,2292.87
TRP-500004,7.88,1143.21,402.94,2680.63
TRP-500005,7.72,1120.04,384.82,2626.29
TRP-500006,7.03,1019.88,359.14,2391.44
TRP-500007,16.98,2462.7,550.06,4076.19
TRP-500008,16.68,2418.38,531.89,4002.84
TRP-500009,15.75,2283.42,512.4,5354.23
TRP-500010,16.72,2424.33,527.31,5684.64
TRP-500011,13.13,1903.26,293.33,4462.81
TRP-500012,13.62,1975.52,288.67,4632.26
TRP-500013,13.72,1988.88,290.9,4663.59
TRP-500014,12.48,1810.26,278.17,4244.75
TRP-500015,5.83,845.61,174.04,1399.64
TRP-500016,5.46,791.94,173.11,1310.8
TRP-500017,5.14,745.88,179.44,1234.56
TRP-500018,5.1,739.39,179.33,1223.81
TRP-500019,4.17,604.61,149.93,1417.7
TRP-500020,3.45,500.87,147.19,1190
TRP-500021,4.22,611.93,162.93,1434.87
TRP-500022,4.32,626.95,175.21,1470.1
TRP-500023,4.18,606.36,150.51,1003.63
TRP-500024,4.14,600.74,161.14,994.33
TRP-500025,1.66,240.51,59.74,385
TRP-500026,1.85,267.61,60.66,385
TRP-500027,1.82,263.81,60.4,525
TRP-500028,1.58,228.68,60.47,525
TRP-500029,4.81,697.92,156.66,1155.18
TRP-500030,5.16,748.7,150.08,1239.22
TRP-500031,12.03,1743.89,240.67,2886.44
TRP-500032,13.01,1887,240.22,3123.3
TRP-500033,3.97,576.05,195.34,1350.75
TRP-500034,3.73,541.07,185.44,1268.72
TRP-500035,2.23,323.81,69.1,385
TRP-500036,2.26,328.42,69.89,385
TRP-500037,7.69,1114.75,379.28,2613.9
TRP-500038,7.51,1088.78,388.3,2553
TRP-500039,7.3,1058.07,361.7,2480.99
TRP-500040,6.73,975.63,368.26,2287.68
TRP-500041,8.11,1176.44,364.89,2758.54
TRP-500042,5.97,864.97,373.59,2028.2
TRP-500043,20.75,3009.19,588.25,7056.04
TRP-500044,20.46,2966.85,588.32,6956.76
TRP-500045,11.98,1737.25,298.59,2875.44
TRP-500046,13.96,2024.57,305.55,3351.01
TRP-500047,1.12,162.69,46.03,385
TRP-500048,1.19,172.27,44.53,385
TRP-500049,1.21,175.77,45.48,840
TRP-500050,1.25,181.42,45.63,840
TRP-500051,2.41,348.83,91.45,840
TRP-500052,2.37,344.35,89.38,840
TRP-500053,2.33,338.43,95.05,385
TRP-500054,2.3,332.85,104.27,385
TRP-500055,18.24,2644.87,505.16,6201.77
TRP-500056,18.35,2660.62,520.7,6238.71
TRP-500057,19.87,2881.03,514.98,6755.52
TRP-500058,17.9,2595.61,541.06,6086.25
TRP-500059,8.8,1276.03,172.15,2992.07
TRP-500060,10.85,1572.6,172.54,3687.48
TRP-500061,4.9,710.05,97.08,1175.25
TRP-500062,5.22,757.62,94.47,1253.99
TRP-500063,1.55,225.22,39.13,385
TRP-500064,1.25,181.92,42.88,385
TRP-500065,1.72,249.42,43.35,385
TRP-500066,1.72,249.41,40.22,385
TRP-500067,0.86,124,25.21,525
TRP-500068,0.93,134.57,23.24,525
TRP-500069,9.56,1386.39,142.22,3250.84
TRP-500070,9.56,1386.47,133.05,3251.03
TRP-500071,13.34,1934.05,299.77,4535.01
TRP-500072,12.19,1767.59,298.37,4144.7
TRP-500073,11.13,1614.41,40.76,1670.08
TRP-500074,9.04,1311.44,42.54,1356.66
TRP-500075,8.9,1289.89,40.55,978.54
TRP-500076,8.05,1166.81,38.91,885.17
TRP-500077,9.99,1449.08,39.89,1499.05
TRP-500078,9.34,1354.9,38.99,607.37
TRP-500079,10.23,1483.83,39.83,1534.99
TRP-500080,9.85,1428.73,57.16,640.46
TRP-500081,8.98,1301.87,53.63,1346.76
TRP-500082,9.83,1425.7,56.33,1474.86
TRP-500083,8.49,1231.22,35.58,1273.68
TRP-500084,8.69,1259.69,33.89,955.63
TRP-500085,7.95,1152.88,36.16,516.81
TRP-500086,8.08,1171.3,36.41,1211.69
TRP-500087,8.38,1214.48,30.46,921.33
TRP-500088,7.64,1108.35,29.6,496.85
TRP-500089,8.16,1182.49,30.19,1223.27
TRP-500090,8.29,1202.62,29.85,539.1
TRP-500091,8.05,1167.94,373.7,1933.15
TRP-500092,7.74,1122.03,391.75,1857.15
TRP-500093,8.38,1214.74,373.85,2848.35
TRP-500094,6.49,940.6,386.42,2205.53
TRP-500095,15.84,2296.15,539.76,5384.08
TRP-500096,17.47,2532.63,501.75,5938.57
TRP-500097,18.54,2687.61,532.96,6301.97
TRP-500098,17.98,2606.6,540.74,6112.03
TRP-500099,14.97,2169.93,483.25,5088.11
TRP-500100,19.24,2789.84,508.89,6541.7
TRP-500101,12.87,1866.72,273.76,4377.13
TRP-500102,13.63,1976.63,290.76,4634.86
TRP-500103,4.65,674.6,175.89,1581.81
