trip_id,trip_date,lane_id,direction,vehicle_id,driver_id,origin_depot_code,planned_depart,actual_depart,planned_arrive,actual_arrive,distance_km,load_kg,load_m3,is_empty
TRP-500001,2024-09-02,LN-101,Outbound,VEH-2032,DRV-426,KES-JHB,02/09/2024 12:00,02/09/2024 12:02,02/09/2024 19:30,02/09/2024 18:57,570,10392,73.52,N
TRP-500002,2024-09-02,LN-101,Return,VEH-2028,DRV-404,KES-JHB,2024-09-03 03:00,2024-09-03 03:00,2024-09-03 10:30,2024-09-03 11:12,546,12290,74.66,N
TRP-500003,2024-09-02,LN-101,Outbound,VEH-2006,DRV-402,KES-JHB,2024-09-02 08:00,2024-09-02 09:12,2024-09-02 15:30,2024-09-02 17:12,564,16327,109.89,N
TRP-500004,2024-09-02,LN-101,Return,VEH-2015,DRV-403,KES-JHB,2024-09-02 19:00,2024-09-02 19:26,2024-09-03 02:30,2024-09-03 02:32,566,10673,118.31,N
TRP-500005,2024-09-02,LN-101,Outbound,VEH-2012,DRV-419,KES-JHB,2024-09-02 14:00,2024-09-02 14:00,2024-09-02 21:30,2024-09-02 21:33,562,25572,92.33,N
TRP-500006,2024-09-02,LN-101,Return,VEH-2014,DRV-416,KES-JHB,2024-09-02 22:00,2024-09-02 22:00,2024-09-03 05:30,2024-09-03 05:44,567,26855,70.74,N
TRP-500007,2024-09-02,LN-102,Outbound,VEH-2014,DRV-447,KES-JHB,2024-09-02 13:00,2024-09-02 13:00,2024-09-03 06:00,2024-09-03 05:04,1432,10432,111.77,N
TRP-500008,2024-09-02,LN-102,Return,VEH-2019,DRV-439,KES-JHB,2024-09-03 05:00,2024-09-03 05:25,2024-09-03 22:00,2024-09-03 23:17,1389,0,0,Y
TRP-500009,2024-09-02,LN-102,Outbound,VEH-2026,DRV-422,KES-JHB,02/09/2024 13:00,02/09/2024 13:28,03/09/2024 06:00,03/09/2024 07:11,1395,8118,73.04,N
TRP-500010,2024-09-02,LN-102,Return,VEH-2031,DRV-416,KES-JHB,2024-09-03 05:00,2024-09-03 05:44,2024-09-03 22:00,2024-09-04 00:21,1444,0,0,Y
TRP-500011,2024-09-02,LN-103,Outbound,VEH-2010,DRV-405,KES-JHB,02/09/2024 06:00,02/09/2024 06:25,02/09/2024 19:00,02/09/2024 18:51,1051,25810,91.93,N
TRP-500012,2024-09-02,LN-103,Return,VEH-2013,DRV-422,KES-JHB,2024-09-03 05:00,2024-09-03 05:06,2024-09-03 18:00,2024-09-03 16:42,1018,0,0,Y
TRP-500013,2024-09-02,LN-104,Outbound,VEH-2026,DRV-407,KES-JHB,2024-09-02 07:00,2024-09-02 07:35,2024-09-02 12:00,2024-09-02 12:28,399,17661,54.57,N
TRP-500014,2024-09-02,LN-104,Return,VEH-2026,DRV-408,KES-JHB,2024-09-02 16:00,2024-09-02 16:53,2024-09-02 21:00,2024-09-02 22:38,398,19385,46.49,N
TRP-500015,2024-09-02,LN-105,Outbound,VEH-2030,DRV-447,KES-JHB,2024-09-02 14:00,2024-09-02 15:02,2024-09-02 18:00,2024-09-02 18:22,325,17419,53.71,N
TRP-500016,2024-09-02,LN-105,Return,VEH-2022,DRV-430,KES-JHB,03/09/2024 00:00,03/09/2024 00:23,03/09/2024 04:00,03/09/2024 04:47,319,9734,72.47,N
TRP-500017,2024-09-02,LN-105,Outbound,VEH-2020,DRV-422,KES-JHB,02/09/2024 08:00,02/09/2024 08:35,02/09/2024 12:00,02/09/2024 12:52,330,26198,101.55,N
TRP-500018,2024-09-02,LN-105,Return,VEH-2020,DRV-435,KES-JHB,02/09/2024 20:00,02/09/2024 20:00,03/09/2024 00:00,03/09/2024 00:11,327,25330,85.58,N
TRP-500019,2024-09-02,LN-106,Outbound,VEH-2003,DRV-405,KES-JHB,02/09/2024 13:00,02/09/2024 13:00,02/09/2024 17:30,02/09/2024 17:33,349,25726,91.3,N
TRP-500020,2024-09-02,LN-106,Return,VEH-2004,DRV-446,KES-JHB,03/09/2024 01:00,03/09/2024 01:18,03/09/2024 05:30,03/09/2024 06:01,356,29420,99.83,N
TRP-500021,2024-09-02,LN-106,Outbound,VEH-2004,DRV-410,KES-JHB,2024-09-02 13:00,2024-09-02 13:23,2024-09-02 17:30,2024-09-02 17:23,363,21614,105.16,N
TRP-500022,2024-09-02,LN-106,Return,VEH-2019,DRV-430,KES-JHB,02/09/2024 22:00,02/09/2024 22:00,03/09/2024 02:30,03/09/2024 02:32,347,0,0,Y
TRP-500023,2024-09-02,LN-107,Outbound,VEH-2044,DRV-428,KES-JHB,2024-09-02 14:00,2024-09-02 14:38,2024-09-02 15:48,2024-09-02 16:13,121,5605,24.36,N
TRP-500024,2024-09-02,LN-107,Return,VEH-2049,DRV-426,KES-JHB,2024-09-02 14:00,2024-09-02 14:00,2024-09-02 15:48,2024-09-02 15:52,123,6629,26.38,N
TRP-500025,2024-09-02,LN-107,Outbound,VEH-2031,DRV-437,KES-JHB,2024-09-02 12:00,2024-09-02 13:05,2024-09-02 13:48,2024-09-02 14:53,122,22752,58.43,N
TRP-500026,2024-09-02,LN-107,Return,VEH-2023,DRV-404,KES-JHB,2024-09-02 16:00,2024-09-02 16:02,2024-09-02 17:48,2024-09-02 17:57,119,11407,80.88,N
TRP-500027,2024-09-02,LN-108,Outbound,VEH-2018,DRV-434,KES-JHB,2024-09-02 12:00,2024-09-02 12:09,2024-09-02 17:30,2024-09-02 17:40,475,28134,78.34,N
TRP-500028,2024-09-02,LN-108,Return,VEH-2015,DRV-415,KES-JHB,03/09/2024 00:00,03/09/2024 01:09,03/09/2024 05:30,03/09/2024 07:30,481,0,0,Y
TRP-500029,2024-09-02,LN-109,Outbound,VEH-2008,DRV-432,KES-JHB,02/09/2024 08:00,02/09/2024 09:14,02/09/2024 20:00,02/09/2024 21:44,998,23835,70.33,N
TRP-500030,2024-09-02,LN-109,Return,VEH-2003,DRV-406,KES-JHB,03/09/2024 05:00,03/09/2024 05:00,03/09/2024 17:00,03/09/2024 16:29,992,32607,83.43,N
TRP-500031,2024-09-02,LN-110,Outbound,VEH-2028,DRV-411,KES-JHB,02/09/2024 13:00,02/09/2024 13:23,02/09/2024 17:00,02/09/2024 17:10,307,23760,69.44,N
TRP-500032,2024-09-02,LN-110,Return,VEH-2021,DRV-416,KES-JHB,2024-09-02 16:00,2024-09-02 16:31,2024-09-02 20:00,2024-09-02 21:01,305,8364,80.75,N
TRP-500033,2024-09-02,LN-111,Outbound,VEH-2038,DRV-419,KES-JHB,2024-09-02 05:00,2024-09-02 05:12,2024-09-02 07:12,2024-09-02 07:12,168,11405,33.16,N
TRP-500034,2024-09-02,LN-111,Return,VEH-2041,DRV-451,KES-JHB,2024-09-02 19:00,2024-09-02 19:53,2024-09-02 21:12,2024-09-02 22:00,166,11905,60,N
TRP-500035,2024-09-02,LN-112,Outbound,VEH-2032,DRV-428,KES-JHB,02/09/2024 13:00,02/09/2024 13:40,02/09/2024 16:18,02/09/2024 16:56,269,9922,76.11,N
TRP-500036,2024-09-02,LN-112,Return,VEH-2029,DRV-449,KES-JHB,2024-09-02 14:00,2024-09-02 14:06,2024-09-02 17:18,2024-09-02 17:35,264,20750,57.72,N
TRP-500037,2024-09-02,LN-113,Outbound,VEH-2066,DRV-466,KES-DBN,02/09/2024 08:00,02/09/2024 08:42,02/09/2024 15:30,02/09/2024 16:02,572,32012,97.72,N
TRP-500038,2024-09-02,LN-113,Return,VEH-2062,DRV-459,KES-DBN,2024-09-03 01:00,2024-09-03 01:50,2024-09-03 08:30,2024-09-03 09:53,561,16431,106.27,N
TRP-500039,2024-09-02,LN-113,Outbound,VEH-2071,DRV-463,KES-DBN,2024-09-02 08:00,2024-09-02 08:38,2024-09-02 15:30,2024-09-02 16:24,564,8403,79.41,N
TRP-500040,2024-09-02,LN-113,Return,VEH-2073,DRV-454,KES-DBN,2024-09-02 19:00,2024-09-02 19:00,2024-09-03 02:30,2024-09-03 01:42,566,20252,54.6,N
TRP-500041,2024-09-02,LN-114,Outbound,VEH-2061,DRV-462,KES-DBN,2024-09-02 08:00,2024-09-02 08:33,2024-09-03 04:00,2024-09-03 05:10,1703,25876,95.25,N
TRP-500042,2024-09-03,LN-114,Return,VEH-2062,DRV-453,KES-DBN,03/09/2024 12:00,03/09/2024 12:00,04/09/2024 08:00,04/09/2024 09:10,1673,0,0,Y
TRP-500043,2024-09-02,LN-115,Outbound,VEH-2056,DRV-468,KES-DBN,2024-09-02 11:00,2024-09-02 11:28,2024-09-02 23:00,2024-09-02 22:54,995,19007,105.26,N
TRP-500044,2024-09-02,LN-115,Return,VEH-2059,DRV-460,KES-DBN,2024-09-03 07:00,2024-09-03 07:00,2024-09-03 19:00,2024-09-03 20:08,1012,13982,106.29,N
