vehicle_id,registration,vehicle_class,capacity_kg,capacity_m3,depot_code,acquired_date,status
VEH-2001,GP 650-594,Superlink 34t,34000,120,KES-JHB,2020-08-19,Active
VEH-2002,GP 212-603,Superlink 34t,34000,120,KES-JHB,2020-06-15,Active
VEH-2003,GP 283-724,Superlink 34t,34000,120,KES-JHB,2022-09-01,Active
VEH-2004,GP 502-647,Superlink 34t,34000,120,KES-JHB,2021-08-08,Active
VEH-2005,GP 552-100,Superlink 34t,34000,120,KES-JHB,2022-11-22,Active
VEH-2006,gp 153-377,Superlink 34t,34000,120,KES-JHB,2024-01-03,Active
VEH-2007,GP 797-504,Superlink 34t,34000,120,KES-JHB,2023-02-24,Active
VEH-2008,GP 845-492,Superlink 34t,34000,120,KES-JHB,2019-08-21,Active
VEH-2009,GP273489,Superlink 34t,34000,120,KES-JHB,2019-10-30,Active
VEH-2010,GP 771-938,Superlink 34t,34000,120,KES-JHB,2020-07-15,Active
VEH-2011,GP 880-593,Superlink 34t,34000,120,KES-JHB,2023-07-21,Active
VEH-2012,GP 447-908,Superlink 34t,34000,120,KES-JHB,2020-10-29,Active
VEH-2013,GP 529-250,Superlink 34t,34000,120,KES-JHB,2023-09-29,Active
VEH-2014,gp 648-918,Superlink 34t,34000,120,KES-JHB,2023-08-03,Active
VEH-2015,GP 744-393,Superlink 34t,34000,120,KES-JHB,2021-09-03,Active
VEH-2016,GP 837-939,Superlink 34t,34000,120,KES-JHB,2023-07-28,Active
VEH-2017,GP 472-396,Superlink 34t,34000,120,KES-JHB,2023-05-24,Active
VEH-2018,GP 263-363,Superlink 34t,34000,120,KES-JHB,2022-09-07,Active
VEH-2019,GP 309-670,Superlink 34t,34000,120,KES-JHB,2019-03-03,Active
VEH-2020,GP845477,Superlink 34t,34000,120,KES-JHB,2023-05-30,Active
VEH-2021,GP 334-831,Tri-axle 24t,24000,82,KES-JHB,2020-07-01,Active
VEH-2022,GP 316-393,Tri-axle 24t,24000,82,KES-JHB,2021-05-26,Active
VEH-2023,GP 112-182,Tri-axle 24t,24000,82,KES-JHB,2022-02-21,Active
VEH-2024,GP 818-774,Tri-axle 24t,24000,82,KES-JHB,2019-07-25,Active
VEH-2025,GP 954-990,Tri-axle 24t,24000,82,KES-JHB,2020-12-09,Active
VEH-2026,GP 993-548,Tri-axle 24t,24000,82,KES-JHB,2018-05-08,Active
VEH-2027,GP 991-616,Tri-axle 24t,24000,82,KES-JHB,2020-03-15,Active
VEH-2028,GP 343-706,Tri-axle 24t,24000,82,KES-JHB,2020-05-26,Active
VEH-2029,GP 850-483,Tri-axle 24t,24000,82,KES-JHB,2022-07-23,Active
VEH-2030,GP 112-520,Tri-axle 24t,24000,82,KES-JHB,2022-06-29,Active
VEH-2031,GP 511-476,Tri-axle 24t,24000,82,KES-JHB,2020-05-20,Active
VEH-2032,GP 757-753,Tri-axle 24t,24000,82,KES-JHB,2024-01-23,Active
VEH-2033,GP 882-906,Rigid 14t,14000,60,KES-JHB,2021-08-11,Active
VEH-2034,GP 518-377,Rigid 14t,14000,60,KES-JHB,2019-01-25,Active
VEH-2035,GP663459,Rigid 14t,14000,60,KES-JHB,2023-11-26,Active
VEH-2036,GP 195-645,Rigid 14t,14000,60,KES-JHB,2022-10-27,Active
VEH-2037,GP 214-739,Rigid 14t,14000,60,KES-JHB,2022-02-13,Active
VEH-2038,GP 444-430,Rigid 14t,14000,60,KES-JHB,2023-08-25,Active
VEH-2039,GP281912,Rigid 14t,14000,60,KES-JHB,2021-07-21,Active
VEH-2040,GP 372-528,Rigid 14t,14000,60,KES-JHB,2021-09-21,Active
VEH-2041,GP 629-394,Rigid 14t,14000,60,KES-JHB,2022-01-25,Active
VEH-2042,GP434448,Rigid 8t,8000,38,KES-JHB,2024-03-24,Active
VEH-2043,GP 145-252,Rigid 8t,8000,38,KES-JHB,2018-02-26,Active
VEH-2044,GP 432-208,Rigid 8t,8000,38,KES-JHB,2018-12-27,Active
VEH-2045,GP 923-573,Rigid 8t,8000,38,KES-JHB,2023-11-05,Active
VEH-2046,GP 523-716,Rigid 8t,8000,38,KES-JHB,2021-03-20,Active
VEH-2047,GP905324,Rigid 8t,8000,38,KES-JHB,2020-01-01,Active
VEH-2048,GP 951-969,Rigid 8t,8000,38,KES-JHB,2023-09-02,Active
VEH-2049,GP 901-231,Rigid 8t,8000,38,KES-JHB,2018-04-06,Active
VEH-2050,GP 245-108,LDV 1.5t,1500,8,KES-JHB,2022-10-23,Active
VEH-2051,GP 225-576,LDV 1.5t,1500,8,KES-JHB,2019-01-03,Active
VEH-2052,GP 970-981,LDV 1.5t,1500,8,KES-JHB,2019-12-11,Active
VEH-2053,GP 846-111,LDV 1.5t,1500,8,KES-JHB,2022-07-04,Active
VEH-2054,GP 938-217,LDV 1.5t,1500,8,KES-JHB,2024-01-17,Active
VEH-2055,ND 340-401,Superlink 34t,34000,120,KES-DBN,2019-12-30,Active
VEH-2056,ND 714-617,Superlink 34t,34000,120,KES-DBN,2023-11-21,Active
VEH-2057,ND 158-346,Superlink 34t,34000,120,KES-DBN,2018-11-29,Active
VEH-2058,ND 930-806,Superlink 34t,34000,120,KES-DBN,2019-02-10,Active
VEH-2059,ND 548-557,Superlink 34t,34000,120,KES-DBN,2023-08-28,Active
VEH-2060,nd 527-498,Superlink 34t,34000,120,KES-DBN,2022-10-15,Active
VEH-2061,ND803976,Superlink 34t,34000,120,KES-DBN,2021-03-13,Active
VEH-2062,ND 707-168,Superlink 34t,34000,120,KES-DBN,2018-04-02,Active
VEH-2063,ND 898-816,Superlink 34t,34000,120,KES-DBN,2021-07-24,Active
VEH-2064,ND 826-324,Superlink 34t,34000,120,KES-DBN,2023-03-13,Active
VEH-2065,ND 315-104,Superlink 34t,34000,120,KES-DBN,2022-10-11,Active
VEH-2066,ND 406-244,Superlink 34t,34000,120,KES-DBN,2022-02-27,Active
VEH-2067,ND 936-238,Tri-axle 24t,24000,82,KES-DBN,2023-12-24,Active
VEH-2068,ND 133-658,Tri-axle 24t,24000,82,KES-DBN,2022-11-13,Active
VEH-2069,ND 132-999,Tri-axle 24t,24000,82,KES-DBN,2020-11-20,Active
VEH-2070,ND371696,Tri-axle 24t,24000,82,KES-DBN,2021-04-26,Active
VEH-2071,ND 526-374,Tri-axle 24t,24000,82,KES-DBN,2022-10-22,Active
VEH-2072,ND309306,Tri-axle 24t,24000,82,KES-DBN,2019-10-17,Active
VEH-2073,nd 410-450,Tri-axle 24t,24000,82,KES-DBN,2023-07-28,Active
VEH-2074,nd 292-341,Tri-axle 24t,24000,82,KES-DBN,2022-11-26,Active
VEH-2075,ND 283-785,Rigid 14t,14000,60,KES-DBN,2022-03-07,Active
VEH-2076,ND 757-928,Rigid 14t,14000,60,KES-DBN,2022-08-27,Active
VEH-2077,ND 478-683,Rigid 14t,14000,60,KES-DBN,2018-02-24,Active
VEH-2078,ND 505-224,Rigid 14t,14000,60,KES-DBN,2020-05-09,Active
VEH-2079,ND 310-845,Rigid 14t,14000,60,KES-DBN,2020-03-22,Active
VEH-2080,ND 119-320,Rigid 14t,14000,60,KES-DBN,2024-03-07,Active
VEH-2081,ND 939-926,Rigid 8t,8000,38,KES-DBN,2024-03-07,Active
VEH-2082,ND 820-435,Rigid 8t,8000,38,KES-DBN,2022-11-08,Active
