assessment_id,loan_id,assessed_at,assessor_agent_id,declared_gross_income_zar,declared_net_income_zar,declared_expenses_zar,existing_obligations_zar,regulated_expense_norm_zar,disposable_income_zar,disposable_after_instalment_zar
AF-700001,LN-500001,2024-09-22,AG-643,16250,14274,2503,5345,2281.32,6426,3108.28
AF-700002,LN-500002,2024-09-16,AG-650,15050,13325,2376,5246,2199.72,5703,4074.53
AF-700003,LN-500003,2024-09-04,AG-659,7750,6473,1712,2124,1703.32,2637,1461.55
AF-700004,LN-500004,2024-09-21,AG-615,9050,7740,1861,2373,1791.72,3506,678.36
AF-700005,LN-500005,2024-09-05,AG-659,24650,20849,2703,8343,2852.52,9803,7262.68
AF-700006,LN-500006,2024-09-08,AG-644,5900,5065,1537,1360,1563.13,2168,1219.06
AF-700007,LN-500007,2024-09-11,AG-621,14400,12928,2170,1992,2155.52,8766,5498.66
AF-700008,LN-500008,2024-08-31,AG-635,6550,5887,1801,990,1621.72,3096,427.87
AF-700009,LN-500009,2024-09-07,AG-648,6850,6140,1761,2340,1642.12,2039,-2181.29
AF-700010,LN-500010,2024-09-10,AG-609,11700,10336,2078,1615,1971.92,6643,4711.73
AF-700011,LN-500011,2024-09-14,AG-632,13200,10943,1949,5032,2073.92,3962,2985.8
AF-700012,LN-500012,2024-09-11,AG-647,7150,6013,1767,2819,1662.52,1427,43.27
AF-700013,LN-500013,2024-09-20,AG-604,10600,8855,2027,2905,1897.12,3923,2037.7
AF-700014,LN-500014,2024-09-14,AG-658,8950,8080,1869,3049,1784.92,3162,154.56
AF-700015,LN-500015,2024-09-15,AG-637,6100,5142,1628,1610,1578.63,1904,356.02
AF-700016,LN-500016,2024-09-26,AG-654,13450,12303,2110,1401,2090.92,8792,7134.42
AF-700017,LN-500017,2024-09-07,AG-651,22200,20267,2732,3746,2685.92,13789,10471.28
AF-700018,LN-500018,2024-09-08,AG-615,4200,3592,1420,865,1431.38,1307,-1192.59
AF-700019,LN-500019,2024-09-04,AG-630,14350,12274,2152,2760,2152.12,7362,5900.04
