snapshot_date,loan_id,days_past_due,outstanding_balance_zar,arrears_amount_zar,arrears_bucket
2024-10-31,LN-500001,0,"52,594.63",0,Current
2024-10-31,LN-500002,0,20199.4,0,Current
2024-10-31,LN-500003,0,10098.55,0,Current
2024-10-31,LN-500004,0,35731.97,0,Current
2024-10-31,LN-500005,0,"53,263.19",0,Current
2024-10-31,LN-500006,0,11397.6,0,Current
2024-10-31,LN-500007,0,41427.23,0,Current
2024-10-31,LN-500008,0,23722.32,0,Current
2024-10-31,LN-500009,0,19074.69,0,Current
2024-10-31,LN-500010,0,29877.3,0,Current
2024-10-31,LN-500011,0,"14,686.93",0,Current
2024-10-31,LN-500012,0,12127.94,0,Current
2024-10-31,LN-500013,0,16665.75,0,Current
2024-10-31,LN-500014,60,38706.46,3007.44,31-60
2024-10-31,LN-500015,0,13643.08,0,Current
2024-10-31,LN-500016,0,20726.49,0,Current
2024-10-31,LN-500017,30,55447.87,3317.72,1-30
2024-10-31,LN-500018,0,11168.3,0,Current
2024-10-31,LN-500019,0,22551.11,0,Current
2024-10-31,LN-500020,30,18961.57,2014.12,1-30
2024-10-31,LN-500021,0,39855.92,0,Current
2024-10-31,LN-500022,0,26541.72,0,Current
2024-10-31,LN-500023,0,22808.67,0,Current
2024-10-31,LN-500024,0,31988.12,0,Current
2024-10-31,LN-500025,0,39345.95,0,Current
2024-10-31,LN-500026,0,7582.55,0,Current
2024-10-31,LN-500027,0,21522.12,0,Current
2024-10-31,LN-500028,0,46554.04,0,Current
2024-10-31,LN-500029,0,51963.38,0,Current
2024-10-31,LN-500030,0,24226.9,0,Current
2024-10-31,LN-500031,0,20717.15,0,Current
2024-10-31,LN-500032,0,33294.15,0,Current
2024-10-31,LN-500033,0,11676.8,0,Current
2024-10-31,LN-500034,0,10598.28,0,Current
2024-10-31,LN-500035,30,22334.79,2458.55,1-30
2024-10-31,LN-500036,0,52642.5,0,Current
2024-10-31,LN-500037,0,24237.96,0,Current
2024-10-31,LN-500038,0,33922.49,0,Current
2024-10-31,LN-500039,0,51939.96,0,Current
2024-10-31,LN-500040,0,33591.49,0,Current
2024-10-31,LN-500041,0,30786.49,0,Current
2024-10-31,LN-500042,0,11682.4,0,Current
2024-10-31,LN-500043,0,19642.75,0,Current
2024-10-31,LN-500044,0,28781.29,0,Current
2024-10-31,LN-500045,0,32654.82,0,Current
2024-10-31,LN-500046,0,24134.95,0,Current
2024-10-31,LN-500047,0,13274.48,0,Current
2024-10-31,LN-500048,0,27758.99,0,Current
2024-10-31,LN-500049,0,38842.04,0,Current
2024-10-31,LN-500050,0,24870.37,0,Current
2024-10-31,LN-500051,0,24754.05,0,Current
2024-10-31,LN-500052,0,51986.71,0,Current
2024-10-31,LN-500053,0,53263.19,0,Current
2024-10-31,LN-500054,0,34163.23,0,Current
2024-10-31,LN-500055,0,19396.54,0,Current
2024-10-31,LN-500056,0,41539.9,0,Current
2024-10-31,LN-500057,0,51939.96,0,Current
2024-10-31,LN-500058,0,23316.42,0,Current
2024-10-31,LN-500059,0,51986.71,0,Current
2024-10-31,LN-500060,0,40900.84,0,Current
2024-10-31,LN-500061,0,44989.28,0,Current
2024-10-31,LN-500062,30,39820.12,2381.07,1-30
2024-10-31,LN-500063,0,7967.59,0,Current
2024-10-31,LN-500064,0,39869,0,Current
2024-10-31,LN-500065,0,"23,722.32",0,Current
2024-10-31,LN-500066,0,17108.27,0,Current
2024-10-31,LN-500067,0,20704.27,0,Current
2024-10-31,LN-500068,0,46875.23,0,Current
2024-10-31,LN-500069,0,45922,0,Current
2024-10-31,LN-500070,0,37772.4,0,Current
2024-10-31,LN-500071,0,13998.96,0,Current
2024-10-31,LN-500072,0,32625.45,0,Current
2024-10-31,LN-500073,0,51963.38,0,Current
2024-10-31,LN-500074,0,24870.37,0,Current
2024-10-31,LN-500075,30,55447.87,4051.73,1-30
2024-10-31,LN-500076,0,21492.69,0,Current
2024-10-31,LN-500077,0,31291.07,0,Current
2024-10-31,LN-500078,30,55447.87,3262.06,1-30
2024-10-31,LN-500079,0,32527.22,0,Current
2024-10-31,LN-500080,0,"24,742.79",0,Current
2024-10-31,LN-500081,0,12601.28,0,Current
2024-10-31,LN-500082,0,"48,196.22",0,Current
2024-10-31,LN-500083,30,42580.76,1988.86,1-30
2024-10-31,LN-500084,30,42028.63,2530.64,1-30
2024-10-31,LN-500085,0,51916.44,0,Current
2024-10-31,LN-500086,0,32527.22,0,Current
2024-10-31,LN-500087,0,33036.68,0,Current
2024-10-31,LN-500088,0,22296.2,0,Current
2024-10-31,LN-500089,30,"9,453.05",1009.59,1-30
2024-10-31,LN-500090,0,18872.5,0,Current
2024-10-31,LN-500091,0,14517.18,0,Current
2024-10-31,LN-500092,0,18163.57,0,Current
2024-10-31,LN-500093,30,25464.78,2625.21,1-30
2024-10-31,LN-500094,0,35764.13,0,Current
2024-10-31,LN-500095,30,55447.87,3317.72,1-30
2024-10-31,LN-500096,0,51916.44,0,Current
2024-10-31,LN-500097,0,16300.85,0,Current
2024-10-31,LN-500098,0,14888.95,0,Current
2024-10-31,LN-500099,0,45552.22,0,Current
2024-10-31,LN-500100,0,39873.98,0,Current
2024-10-31,LN-500101,0,"37,268.33",0,Current
2024-10-31,LN-500102,0,52570.52,0,Current
2024-10-31,LN-500103,0,27953.01,0,Current
2024-10-31,LN-500104,30,17688.49,0,1-30
2024-10-31,LN-500105,0,46656.16,0,Current
2024-10-31,LN-500106,0,"53,313.38",0,Current
2024-10-31,LN-500107,0,38355.25,0,Current
2024-10-31,LN-500108,0,17683.43,0,Current
2024-10-31,LN-500109,0,23368.71,0,Current
2024-10-31,LN-500110,0,10371.43,0,Current
2024-10-31,LN-500111,0,24442.14,0,Current
2024-10-31,LN-500112,0,51916.44,0,Current
2024-10-31,LN-500113,0,41420.5,0,Current
2024-10-31,LN-500114,0,46632.25,0,Current
2024-10-31,LN-500115,30,40924.37,4160.81,1-30
2024-10-31,LN-500116,0,47725.32,0,Current
2024-10-31,LN-500117,0,29001.18,0,Current
2024-10-31,LN-500118,0,43447.97,0,Current
2024-10-31,LN-500119,0,13028.63,0,Current
2024-10-31,LN-500120,60,"34,178.70",0,31-60
2024-10-31,LN-500121,0,51939.96,0,Current
2024-10-31,LN-500122,0,19155.21,0,Current
2024-10-31,LN-500123,0,16658.15,0,Current
2024-10-31,LN-500124,0,47416.32,0,Current
2024-10-31,LN-500125,0,18872.5,0,Current
2024-10-31,LN-500126,0,20726.49,0,Current
2024-10-31,LN-500127,30,30986.06,1867.37,1-30
2024-10-31,LN-500128,0,38337.68,0,Current
2024-10-31,LN-500129,0,35316.31,0,Current
2024-10-31,LN-500130,0,51963.38,0,Current
2024-10-31,LN-500131,0,38895.29,0,Current
2024-10-31,LN-500132,0,18144.53,0,Current
2024-10-31,LN-500133,0,"52,642.50",0,Current
2024-10-31,LN-500134,30,16078.6,1205.21,1-30
2024-10-31,LN-500135,30,30986.06,3165.69,1-30
2024-10-31,LN-500136,0,19685.65,0,Current
2024-10-31,LN-500137,0,24643.04,0,Current
2024-10-31,LN-500138,0,27758.99,0,Current
2024-10-31,LN-500139,30,45893.54,4658.37,1-30
2024-10-31,LN-500140,0,29725.85,0,Current
2024-10-31,LN-500141,0,51963.38,0,Current
2024-10-31,LN-500142,0,50665.11,0,Current
2024-10-31,LN-500143,0,17626.49,0,Current
2024-10-31,LN-500144,0,19181.06,0,Current
2024-10-31,LN-500145,0,51963.38,0,Current
2024-10-31,LN-500146,0,32819.81,0,Current
2024-10-31,LN-500147,0,25236.07,0,Current
2024-10-31,LN-500148,0,53212.28,0,Current
2024-10-31,LN-500149,0,24237.96,0,Current
2024-10-31,LN-500150,0,"29,918.20",0,Current
2024-10-31,LN-500151,30,13593.36,1486.3,1-30
2024-10-31,LN-500152,0,"52,570.52",0,Current
2024-10-31,LN-500153,0,38803.73,0,Current
2024-10-31,LN-500154,0,13965.93,0,Current
2024-10-31,LN-500155,30,46413.04,4687.89,1-30
2024-10-31,LN-500156,0,50595.74,0,Current
2024-10-31,LN-500157,0,36841.49,0,Current
