client_ref,home_branch_code,province,gender,age_band,employment_type,employer_sector,monthly_income_zar,payday_day
CL-100001,SF-JHB,Gauteng,M,25-34,Permanent,Public sector,9550,30
CL-100002,SF-JHB,Gauteng,F,18-24,Permanent,Mining,10000,25
CL-100003,SF-JHB,Gauteng,F,18-24,Pensioner,Transport,6050,25
CL-100004,SF-JHB,Gauteng,F,35-44,Government,Retail,18050,25
CL-100005,SF-JHB,Gauteng,M,35-44,Contract,Healthcare,8400,25
CL-100006,SF-JHB,Gauteng,M,55-64,Government,Hospitality,14850,30
CL-100007,SF-JHB,Gauteng,M,45-54,Permanent,Hospitality,14600,8
CL-100008,SF-JHB,Gauteng,M,18-24,Government,Education,14900,25
CL-100009,SF-JHB,Gauteng,F,25-34,Permanent,Security,6200,16
CL-100010,SF-JHB,Gauteng,F,35-44,Pensioner,Manufacturing,14850,30
CL-100011,SF-JHB,Gauteng,M,45-54,Contract,Public sector,7800,4
CL-100012,SF-JHB,Gauteng,M,25-34,Permanent,Public sector,11400,25
CL-100013,SF-JHB,Gauteng,F,18-24,Contract,Mining,6800,9
CL-100014,SF-JHB,Gauteng,M,18-24,Permanent,Manufacturing,34000,23
CL-100015,SF-JHB,Gauteng,F,35-44,Contract,Mining,9000,25
CL-100016,SF-JHB,Gauteng,F,35-44,Government,Retail,5800,30
CL-100017,SF-JHB,Gauteng,F,35-44,Permanent,Retail,12050,25
CL-100018,SF-JHB,Gauteng,F,25-34,Contract,Public sector,15300,25
CL-100019,SF-JHB,Gauteng,M,25-34,Permanent,Manufacturing,7100,30
CL-100020,SF-JHB,Gauteng,M,25-34,Government,Public sector,18950,30
CL-100021,SF-JHB,Gauteng,F,55-64,Contract,Retail,7600,25
CL-100022,SF-JHB,Gauteng,M,25-34,Permanent,Mining,6550,30
CL-100023,SF-JHB,Gauteng,M,55-64,Permanent,Healthcare,19300,30
CL-100024,SF-JHB,Gauteng,F,55-64,Contract,Healthcare,13150,25
CL-100025,SF-JHB,Gauteng,F,35-44,Permanent,Security,10100,8
CL-100026,SF-JHB,Gauteng,F,35-44,Permanent,Construction,18250,25
CL-100027,SF-JHB,Gauteng,F,45-54,Permanent,Retail,7800,30
CL-100028,SF-JHB,Gauteng,F,25-34,Permanent,Retail,24000,25
CL-100029,SF-JHB,Gauteng,F,35-44,Contract,Transport,35200,25
CL-100030,SF-JHB,Gauteng,M,18-24,Government,Transport,13200,25
CL-100031,SF-JHB,Gauteng,F,35-44,Government,Construction,10800,25
CL-100032,SF-JHB,Gauteng,M,35-44,Permanent,Security,13200,30
CL-100033,SF-JHB,Gauteng,M,35-44,Permanent,Security,10050,25
CL-100034,SF-JHB,Gauteng,M,35-44,Contract,Public sector,5700,30
CL-100035,SF-JHB,Gauteng,F,35-44,Contract,Retail,9750,25
CL-100036,SF-JHB,Gauteng,F,55-64,Permanent,Construction,18800,30
CL-100037,SF-JHB,Gauteng,M,25-34,Pensioner,Manufacturing,12000,25
CL-100038,SF-JHB,Gauteng,F,25-34,Contract,Healthcare,6650,30
CL-100039,SF-JHB,Gauteng,F,35-44,Permanent,Construction,5700,30
CL-100040,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,5850,25
CL-100041,SF-JHB,Gauteng,F,55-64,Permanent,Retail,15700,30
CL-100042,SF-JHB,Gauteng,F,45-54,Permanent,Security,17650,25
CL-100043,SF-JHB,Gauteng,M,45-54,Permanent,Manufacturing,5550,25
CL-100044,SF-JHB,Gauteng,F,45-54,Government,Construction,12250,25
CL-100045,SF-JHB,Gauteng,M,35-44,Permanent,Transport,13800,30
CL-100046,SF-JHB,Gauteng,M,45-54,Permanent,Construction,10450,25
CL-100047,SF-JHB,Gauteng,M,35-44,Permanent,Hospitality,15600,25
CL-100048,SF-JHB,Gauteng,M,35-44,Contract,Public sector,5400,25
CL-100049,SF-JHB,Gauteng,M,45-54,Contract,Manufacturing,16850,25
CL-100050,SF-JHB,Gauteng,M,35-44,Contract,Healthcare,13050,25
CL-100051,SF-JHB,Gauteng,F,25-34,Permanent,Mining,7250,30
CL-100052,SF-JHB,Gauteng,M,18-24,Contract,Public sector,30600,25
CL-100053,SF-JHB,Gauteng,F,55-64,Contract,Construction,6700,25
CL-100054,SF-JHB,Gauteng,M,45-54,Permanent,Construction,9500,25
CL-100055,SF-JHB,Gauteng,F,25-34,Permanent,Healthcare,15900,30
CL-100056,SF-JHB,Gauteng,M,45-54,Permanent,Manufacturing,12550,25
CL-100057,SF-JHB,Gauteng,F,25-34,Permanent,Retail,15400,25
CL-100058,SF-JHB,Gauteng,F,35-44,Government,Security,7050,25
CL-100059,SF-JHB,Gauteng,M,25-34,Government,Manufacturing,18200,30
CL-100060,SF-JHB,Gauteng,F,25-34,Permanent,Security,8550,30
CL-100061,SF-JHB,Gauteng,F,25-34,Permanent,Transport,10200,25
CL-100062,SF-JHB,Gauteng,F,35-44,Contract,Education,9000,25
CL-100063,SF-JHB,Gauteng,M,25-34,Permanent,Public sector,13500,10
CL-100064,SF-JHB,Gauteng,M,45-54,Permanent,Education,8450,25
CL-100065,SF-JHB,Gauteng,M,25-34,Contract,Mining,9900,27
CL-100066,SF-JHB,Gauteng,F,55-64,Contract,Construction,8100,30
CL-100067,SF-JHB,Gauteng,M,25-34,Government,Public sector,8750,30
CL-100068,SF-JHB,Gauteng,M,25-34,Permanent,Mining,11900,25
CL-100069,SF-JHB,Gauteng,F,35-44,Contract,Hospitality,9600,25
CL-100070,SF-JHB,Gauteng,M,55-64,Permanent,Hospitality,16650,11
CL-100071,SF-JHB,Gauteng,F,45-54,Permanent,Construction,23950,25
CL-100072,SF-JHB,Gauteng,M,25-34,Contract,Mining,7750,30
CL-100073,SF-JHB,Gauteng,F,55-64,Government,Construction,13950,30
CL-100074,SF-JHB,Gauteng,F,35-44,Permanent,Manufacturing,20000,25
CL-100075,SF-JHB,Gauteng,F,18-24,Government,Public sector,9450,30
CL-100076,SF-JHB,Gauteng,M,25-34,Permanent,Education,13300,25
CL-100077,SF-JHB,Gauteng,M,55-64,Contract,Construction,13350,25
CL-100078,SF-JHB,Gauteng,F,45-54,Contract,Retail,12500,30
CL-100079,SF-JHB,Gauteng,F,45-54,Contract,Mining,6650,25
CL-100080,SF-JHB,Gauteng,F,25-34,Permanent,Public sector,12050,30
CL-100081,SF-JHB,Gauteng,F,45-54,Permanent,Mining,5750,30
CL-100082,SF-JHB,Gauteng,M,25-34,Contract,Transport,19450,25
CL-100083,SF-JHB,Gauteng,M,55-64,Permanent,Healthcare,12850,25
CL-100084,SF-JHB,Gauteng,M,45-54,Contract,Construction,13600,25
CL-100085,SF-JHB,Gauteng,M,35-44,Permanent,Public sector,11350,25
CL-100086,SF-JHB,Gauteng,M,45-54,Pensioner,Retail,11850,30
CL-100087,SF-JHB,Gauteng,M,18-24,Government,Security,10750,6
CL-100088,SF-JHB,Gauteng,M,18-24,Permanent,Healthcare,12200,25
CL-100089,SF-JHB,Gauteng,F,45-54,Permanent,Hospitality,10600,25
CL-100090,SF-JHB,Gauteng,F,35-44,Pensioner,Retail,4200,25
CL-100091,SF-JHB,Gauteng,M,25-34,Government,Education,6150,30
CL-100092,SF-JHB,Gauteng,F,35-44,Permanent,Public sector,12250,30
CL-100093,SF-JHB,Gauteng,F,55-64,Permanent,Retail,8550,25
CL-100094,SF-JHB,Gauteng,F,55-64,Permanent,Mining,25650,25
CL-100095,SF-JHB,Gauteng,M,25-34,Contract,Transport,13550,30
CL-100096,SF-JHB,Gauteng,F,35-44,Permanent,Education,9400,25
CL-100097,SF-JHB,Gauteng,F,18-24,Permanent,Mining,21400,25
CL-100098,SF-JHB,Gauteng,F,25-34,Permanent,Security,10000,25
CL-100099,SF-JHB,Gauteng,F,45-54,Contract,Healthcare,39850,25
CL-100100,SF-JHB,Gauteng,F,35-44,Permanent,Healthcare,6900,30
CL-100101,SF-JHB,Gauteng,F,35-44,Permanent,Security,7550,22
CL-100102,SF-JHB,Gauteng,M,35-44,Government,Security,9700,25
CL-100103,SF-JHB,Gauteng,F,25-34,Permanent,Transport,9100,25
CL-100104,SF-JHB,Gauteng,M,18-24,Contract,Security,14650,25
