activity_id,loan_id,activity_date,channel,outcome,cost_zar,arrears_bucket_at_time
CA-800001,LN-500173,2024-11-22,SMS,Paid in full,1.18,1-30
CA-800002,LN-500199,2024-11-05,Call,Left message,28.43,1-30
CA-800003,LN-500383,2024-11-24,SMS,Refused,1.18,1-30
CA-800004,LN-500425,2024-11-27,SMS,Number unobtainable,1.2,1-30
CA-800005,LN-500437,2024-11-29,SMS,No answer,1.18,1-30
CA-800006,LN-500444,2024-11-26,SMS,No answer,1.24,1-30
CA-800007,LN-500453,2024-11-15,SMS,Refused,1.22,1-30
CA-800008,LN-500563,2024-11-12,SMS,Paid in full,1.33,1-30
CA-800009,LN-500679,2024-11-16,Call,Partial payment,28.32,1-30
CA-800010,LN-500690,2024-11-23,SMS,Left message,1.33,1-30
CA-800011,LN-500720,2024-11-09,Call,Refused,25.88,1-30
CA-800012,LN-500768,2024-11-11,Call,Refused,28.48,1-30
CA-800013,LN-500043,2024-12-13,SMS,No answer,1.19,1-30
CA-800014,LN-500078,2024-12-19,Call,No answer,29.31,31-60
CA-800015,LN-500078,2024-12-06,Call,No answer,29.07,31-60
CA-800016,LN-500084,2024-12-29,SMS,No answer,1.3,31-60
CA-800017,LN-500111,2024-12-16,Call,Refused,29.98,1-30
CA-800018,LN-500140,2024-12-23,Call,Number unobtainable,30.23,1-30
CA-800019,LN-500176,2024-12-12,Call,Number unobtainable,26.44,31-60
CA-800020,LN-500176,2024-12-14,Call,Refused,29.75,31-60
CA-800021,LN-500221,2024-12-12,SMS,No answer,1.05,1-30
CA-800022,LN-500260,2024-12-29,SMS,Number unobtainable,1.24,31-60
CA-800023,LN-500302,2024-12-10,Call,Number unobtainable,28.65,1-30
CA-800024,LN-500363,2024-12-30,SMS,No answer,1.33,31-60
CA-800025,LN-500421,2024-12-09,SMS,Refused,1.15,1-30
CA-800026,LN-500444,2024-12-23,Call,No answer,28.4,31-60
CA-800027,LN-500444,2024-12-29,SMS,Number unobtainable,1.24,31-60
CA-800028,LN-500480,2024-12-31,SMS,No answer,1.21,31-60
CA-800029,LN-500496,2024-12-19,Call,Number unobtainable,30.28,31-60
CA-800030,LN-500507,2024-12-13,SMS,Refused,1.19,1-30
CA-800031,LN-500515,2024-12-07,SMS,Number unobtainable,1.18,1-30
CA-800032,LN-500587,2024-12-06,Call,Paid in full,26.42,1-30
CA-800033,LN-500638,2024-12-18,SMS,Left message,1.09,1-30
CA-800034,LN-500682,2024-12-18,Call,Paid in full,24.85,1-30
CA-800035,LN-500710,2024-12-27,SMS,Left message,1.12,31-60
CA-800036,LN-500710,2024-12-12,SMS,Number unobtainable,1.26,31-60
CA-800037,LN-500722,2024-12-13,Call,Promise to pay,30.08,31-60
CA-800038,LN-500722,2024-12-11,SMS,No answer,1.01,31-60
CA-800039,LN-500875,2024-12-12,Call,Left message,26.05,1-30
CA-800040,LN-500891,2024-12-18,SMS,Refused,1.16,1-30
CA-800041,LN-500913,2024-12-16,SMS,Left message,1.26,1-30
CA-800042,LN-500915,2024-12-24,SMS,Number unobtainable,1.29,1-30
CA-800043,LN-500934,2024-12-23,SMS,Number unobtainable,0.93,1-30
CA-800044,LN-500980,2024-12-08,Call,Left message,27.54,1-30
CA-800045,LN-501061,2024-12-12,Call,Refused,26.4,1-30
CA-800046,LN-501071,2024-12-11,SMS,Number unobtainable,1.26,1-30
CA-800047,LN-501167,2024-12-29,Call,Left message,27.01,1-30
CA-800048,LN-501274,2024-12-17,Call,Number unobtainable,29.54,1-30
CA-800049,LN-501276,2024-12-17,SMS,Left message,1.19,1-30
CA-800050,LN-501283,2024-12-11,Call,Partial payment,26.13,1-30
CA-800051,LN-501289,2024-12-19,SMS,Number unobtainable,1.26,1-30
CA-800052,LN-501349,2024-12-15,Call,Refused,30.02,1-30
CA-800053,LN-501457,2024-12-24,SMS,Paid in full,1,1-30
CA-800054,LN-501646,2024-12-31,Call,No answer,31.31,1-30
CA-800055,LN-500017,2025-01-20,Letter,Refused,54.64,61-90
CA-800056,LN-500020,2025-01-14,Call,Left message,27.27,61-90
CA-800057,LN-500020,2025-01-25,Field,No answer,296.59,61-90
CA-800058,LN-500020,2025-01-06,Letter,Left message,44.53,61-90
CA-800059,LN-500054,2025-01-12,Call,Left message,26.79,1-30
CA-800060,LN-500057,2025-01-14,SMS,Left message,1.22,1-30
CA-800061,LN-500067,2025-01-17,SMS,Left message,1.09,31-60
CA-800062,LN-500069,2025-01-31,SMS,Refused,1.22,1-30
CA-800063,LN-500078,2025-01-23,Call,Paid in full,22.11,61-90
CA-800064,LN-500084,2025-01-15,Field,Paid in full,347.23,61-90
CA-800065,LN-500084,2025-01-29,Letter,Number unobtainable,54.56,61-90
CA-800066,LN-500167,2025-01-12,Call,Number unobtainable,29.32,31-60
CA-800067,LN-500167,2025-01-25,SMS,No answer,1.25,31-60
CA-800068,LN-500183,2025-01-07,Call,No answer,28.52,1-30
CA-800069,LN-500220,2025-01-14,SMS,Number unobtainable,1.26,1-30
CA-800070,LN-500252,2025-01-12,SMS,No answer,1.24,31-60
CA-800071,LN-500299,2025-01-22,SMS,Refused,1.06,1-30
CA-800072,LN-500308,2025-01-29,Call,No answer,26.26,1-30
CA-800073,LN-500329,2025-01-20,Call,No answer,24.78,1-30
CA-800074,LN-500341,2025-01-26,SMS,Left message,1.14,1-30
CA-800075,LN-500363,2025-01-19,Field,Refused,334.29,61-90
CA-800076,LN-500363,2025-01-13,Field,Left message,358.17,61-90
CA-800077,LN-500409,2025-01-09,Call,No answer,28.91,31-60
CA-800078,LN-500414,2025-01-14,SMS,No answer,1.21,31-60
CA-800079,LN-500421,2025-01-12,SMS,Number unobtainable,1.28,31-60
CA-800080,LN-500427,2025-01-11,Call,Refused,25.64,31-60
CA-800081,LN-500436,2025-01-12,SMS,No answer,1.35,1-30
CA-800082,LN-500452,2025-01-06,SMS,No answer,1.18,1-30
CA-800083,LN-500463,2025-01-15,Call,Paid in full,25.19,1-30
CA-800084,LN-500480,2025-01-13,Field,Promise to pay,333.4,61-90
CA-800085,LN-500480,2025-01-06,Call,Left message,28.48,61-90
CA-800086,LN-500480,2025-01-31,Call,Partial payment,30.2,61-90
CA-800087,LN-500496,2025-01-27,Call,Number unobtainable,29.78,61-90
CA-800088,LN-500496,2025-01-13,Field,Number unobtainable,362.39,61-90
CA-800089,LN-500496,2025-01-16,Letter,Left message,42.75,61-90
CA-800090,LN-500514,2025-01-26,Field,Promise to pay,311.34,61-90
CA-800091,LN-500514,2025-01-23,Field,Paid in full,352.86,61-90
CA-800092,LN-500514,2025-01-16,Call,Partial payment,26.76,61-90
CA-800093,LN-500517,2025-01-17,SMS,Left message,1.15,1-30
CA-800094,LN-500552,2025-01-14,Call,No answer,29.81,1-30
CA-800095,LN-500592,2025-01-12,Field,Number unobtainable,330.12,61-90
CA-800096,LN-500606,2025-01-26,Call,Left message,30.76,31-60
CA-800097,LN-500606,2025-01-08,Call,Left message,28.43,31-60
CA-800098,LN-500607,2025-01-19,Call,Left message,30.54,1-30
CA-800099,LN-500653,2025-01-18,Call,No answer,27.69,1-30
CA-800100,LN-500710,2025-01-11,Call,Refused,29.89,61-90
CA-800101,LN-500710,2025-01-14,Field,Left message,288.14,61-90
CA-800102,LN-500727,2025-01-27,SMS,Promise to pay,1.31,31-60
CA-800103,LN-500727,2025-01-14,SMS,Refused,1.01,31-60
CA-800104,LN-500728,2025-01-24,Call,Refused,24.36,31-60
CA-800105,LN-500728,2025-01-24,SMS,Number unobtainable,0.95,31-60
CA-800106,LN-500737,2025-01-07,Call,Number unobtainable,27.07,31-60
CA-800107,LN-500752,2025-01-12,SMS,No answer,1.16,1-30
CA-800108,LN-500764,2025-01-10,Field,Partial payment,354.99,61-90
CA-800109,LN-500764,2025-01-20,Call,No answer,28.67,61-90
CA-800110,LN-500764,2025-01-19,Call,Number unobtainable,24.67,61-90
CA-800111,LN-500768,2025-01-19,SMS,Left message,1.2,1-30
CA-800112,LN-500797,2025-01-14,Call,Left message,25.73,1-30
CA-800113,LN-500833,2025-01-18,SMS,No answer,1.01,1-30
CA-800114,LN-500842,2025-01-27,Call,No answer,29.82,1-30
CA-800115,LN-500848,2025-01-25,SMS,Refused,1.42,31-60
CA-800116,LN-500865,2025-01-27,Call,Number unobtainable,29.27,1-30
CA-800117,LN-500875,2025-01-22,Call,Left message,26.75,31-60
CA-800118,LN-500875,2025-01-27,SMS,No answer,1.35,31-60
CA-800119,LN-500889,2025-01-09,SMS,No answer,1.19,1-30
CA-800120,LN-500891,2025-01-13,Call,Left message,25.7,31-60
CA-800121,LN-500891,2025-01-21,SMS,No answer,1.38,31-60
CA-800122,LN-500913,2025-01-07,SMS,Left message,1.2,31-60
CA-800123,LN-500913,2025-01-23,Call,No answer,26.89,31-60
CA-800124,LN-500915,2025-01-11,SMS,Number unobtainable,1.14,31-60
CA-800125,LN-500934,2025-01-21,Call,Number unobtainable,27.38,31-60
CA-800126,LN-500959,2025-01-27,SMS,No answer,1.16,31-60
CA-800127,LN-500967,2025-01-28,Call,Refused,29.97,1-30
CA-800128,LN-501058,2025-01-25,Call,Refused,28.59,1-30
CA-800129,LN-501061,2025-01-18,SMS,Refused,1.11,31-60
CA-800130,LN-501061,2025-01-13,Call,Refused,29.48,31-60
CA-800131,LN-501078,2025-01-24,Call,Left message,27.73,1-30
CA-800132,LN-501089,2025-01-23,SMS,Left message,1.18,1-30
CA-800133,LN-501091,2025-01-06,Call,Left message,31.97,1-30
CA-800134,LN-501130,2025-01-07,SMS,Promise to pay,1.19,1-30
CA-800135,LN-501133,2025-01-23,SMS,Refused,1.22,31-60
CA-800136,LN-501181,2025-01-11,SMS,No answer,1.34,1-30
CA-800137,LN-501185,2025-01-14,Call,Number unobtainable,31.9,1-30
CA-800138,LN-501199,2025-01-06,SMS,Left message,1.07,31-60
CA-800139,LN-501199,2025-01-24,SMS,No answer,1.09,31-60
CA-800140,LN-501201,2025-01-31,SMS,Number unobtainable,1.27,1-30
CA-800141,LN-501207,2025-01-28,Call,Promise to pay,28.84,31-60
CA-800142,LN-501207,2025-01-16,SMS,Number unobtainable,1.24,31-60
CA-800143,LN-501208,2025-01-10,SMS,Number unobtainable,1.07,1-30
CA-800144,LN-501276,2025-01-25,SMS,Number unobtainable,1.15,31-60
CA-800145,LN-501290,2025-01-23,SMS,Number unobtainable,1.28,1-30
CA-800146,LN-501312,2025-01-17,SMS,Refused,1.18,31-60
CA-800147,LN-501327,2025-01-19,Call,Refused,26.67,1-30
CA-800148,LN-501346,2025-01-20,SMS,No answer,1.32,1-30
CA-800149,LN-501359,2025-01-22,SMS,Refused,1.44,1-30
CA-800150,LN-501409,2025-01-15,Call,No answer,28.68,1-30
CA-800151,LN-501451,2025-01-25,SMS,Refused,1.04,1-30
CA-800152,LN-501524,2025-01-13,SMS,No answer,1.16,31-60
CA-800153,LN-501615,2025-01-21,Call,Promise to pay,32.68,1-30
CA-800154,LN-501620,2025-01-11,Call,Number unobtainable,25.89,31-60
CA-800155,LN-501620,2025-01-20,SMS,Refused,1.17,31-60
CA-800156,LN-501655,2025-01-24,Call,Number unobtainable,29.9,31-60
CA-800157,LN-501690,2025-01-09,SMS,Number unobtainable,0.93,1-30
CA-800158,LN-501716,2025-01-18,SMS,Refused,1.32,1-30
CA-800159,LN-501727,2025-01-27,SMS,Number unobtainable,1.14,1-30
CA-800160,LN-501751,2025-01-28,Call,No answer,30.39,1-30
CA-800161,LN-501775,2025-01-22,SMS,Number unobtainable,1.12,1-30
CA-800162,LN-501776,2025-01-11,Call,Number unobtainable,29.03,1-30
CA-800163,LN-501816,2025-01-21,Call,Number unobtainable,25.5,1-30
CA-800164,LN-501855,2025-01-14,Call,Partial payment,27.03,1-30
CA-800165,LN-501898,2025-01-06,SMS,Left message,1.21,1-30
CA-800166,LN-501902,2025-01-09,Call,Left message,26.68,1-30
CA-800167,LN-501919,2025-01-08,Call,Left message,27.84,1-30
CA-800168,LN-501922,2025-01-06,SMS,Number unobtainable,1.07,1-30
CA-800169,LN-501939,2025-01-24,Call,No answer,24.85,1-30
CA-800170,LN-501979,2025-01-24,SMS,Left message,1.02,1-30
CA-800171,LN-502072,2025-01-28,SMS,Left message,1.41,1-30
CA-800172,LN-502081,2025-01-09,SMS,Number unobtainable,1.2,1-30
CA-800173,LN-502139,2025-01-13,Call,Number unobtainable,29.97,1-30
CA-800174,LN-502153,2025-01-15,SMS,Refused,1.28,1-30
CA-800175,LN-502226,2025-01-25,SMS,No answer,1.13,1-30
CA-800176,LN-502408,2025-01-31,SMS,Number unobtainable,1.23,1-30
CA-800177,LN-502434,2025-01-07,SMS,Refused,1.3,1-30
CA-800178,LN-502473,2025-01-18,Call,Left message,26.81,1-30
CA-800179,LN-502475,2025-01-19,SMS,Left message,1.15,1-30
CA-800180,LN-502484,2025-01-09,SMS,Left message,1.2,1-30
CA-800181,LN-500009,2025-02-04,SMS,Left message,1.26,1-30
CA-800182,LN-500016,2025-02-27,Call,No answer,27.84,1-30
CA-800183,LN-500017,2025-02-25,Letter,Left message,41.82,90+
CA-800184,LN-500017,2025-02-23,Call,No answer,30.09,90+
CA-800185,LN-500020,2025-02-19,Field,No answer,303.77,90+
CA-800186,LN-500020,2025-02-17,Field,Left message,341.65,90+
CA-800187,LN-500020,2025-02-08,Call,No answer,24.89,90+
CA-800188,LN-500020,2025-02-22,Letter,Left message,41.3,90+
CA-800189,LN-500020,2025-02-17,Field,No answer,310.32,90+
CA-800190,LN-500059,2025-02-25,SMS,No answer,1.13,31-60
CA-800191,LN-500059,2025-02-12,SMS,Refused,1.19,31-60
CA-800192,LN-500067,2025-02-21,Call,No answer,28.2,61-90
CA-800193,LN-500067,2025-02-13,Call,Partial payment,26.04,61-90
CA-800194,LN-500078,2025-02-14,Letter,Number unobtainable,41.24,90+
CA-800195,LN-500078,2025-02-18,Call,Promise to pay,29.01,90+
CA-800196,LN-500078,2025-02-28,Call,Left message,31.01,90+
CA-800197,LN-500078,2025-02-17,Field,Left message,334.92,90+
CA-800198,LN-500084,2025-02-28,Letter,Left message,46.84,90+
CA-800199,LN-500084,2025-02-03,Letter,Refused,42.57,90+
CA-800200,LN-500111,2025-02-15,Call,Refused,29.23,1-30
CA-800201,LN-500123,2025-02-03,Call,Number unobtainable,27.67,1-30
CA-800202,LN-500140,2025-02-17,Call,Number unobtainable,32.46,1-30
CA-800203,LN-500167,2025-02-05,Field,Number unobtainable,340.36,61-90
CA-800204,LN-500167,2025-02-19,Call,Left message,27,61-90
