loan_id,client_ref,branch_code,agent_id,disbursement_date,principal_zar,initiation_fee_zar,capitalised_amount_zar,interest_rate_annual,term_months,monthly_service_fee_zar,credit_life_monthly_zar,instalment_zar,debit_order_day,purpose,is_topup,settles_loan_id,status
LN-500001,CL-113135,SF-GQE,AG-643,24/09/2024,50000,5175,55175,0.27,24,69,248.29,3317.72,9,Funeral,N,,Settled
LN-500002,CL-115836,SF-BFN,AG-650,2024-09-16,18500,2957.5,21457.5,0.27,18,69,96.56,1628.47,25,Home improvement,N,,Settled
LN-500003,CL-118188,SF-MAH,AG-659,2024-09-07,9000,2007.5,11007.5,0.27,12,69,49.53,1175.45,2,Business,N,,Settled
LN-500004,CL-103507,SF-PTA,AG-615,2024-09-21,33500,4457.5,37957.5,0.27,18,69,170.81,2827.64,26,Vehicle repair,N,,Settled
LN-500005,CL-118092,SF-MAH,AG-659,08/09/2024,50000,5175,55175,0.26,36,69,248.29,2540.32,27,Other,N,,Active
LN-500006,CL-114437,SF-GQE,AG-644,2024-09-11,10000,2107.5,12107.5,0.27,18,69,54.48,948.94,7,Home improvement,N,,Written off
LN-500007,CL-106899,SF-DBN,AG-621,2024-09-13,39000,5007.5,44007.5,0.27,18,69,198.03,3267.34,3,Home improvement,N,,Settled
LN-500008,CL-111608,SF-CPT,AG-635,2024-09-02,22500,3357.5,25857.5,0.27,12,69,116.36,2668.13,27,Debt consolidation,N,,Settled
LN-500009,CL-113888,SF-GQE,AG-648,2024-09-08,19500,3057.5,"22,557.50",0.26,6,69,101.51,4220.29,12,Home improvement,N,,Settled
LN-500010,CL-100112,SF-JHB,AG-609,2024-09-11,27500,3857.5,31357.5,0.28,24,69,141.11,1931.27,19,Vehicle repair,N,,Settled
LN-500011,CL-110126,SF-PMB,AG-632,2024-09-15,13000,2407.5,15407.5,0.27,24,69,69.33,976.2,2,School fees,N,,Written off
LN-500012,CL-114179,SF-GQE,AG-647,11/09/2024,11000,2207.5,13207.5,0.25,12,69,59.43,1383.73,2,Funeral,N,,Settled
LN-500013,CL-100287,SF-JHB,AG-604,20/09/2024,15500,2657.5,18157.5,0.26,12,69,81.71,1885.3,25,Business,N,,Settled
LN-500014,CL-117834,SF-PLK,AG-658,17/09/2024,35500,4657.5,40157.5,0.28,18,69,180.71,3007.44,1,School fees,N,,Settled
LN-500015,CL-112225,SF-CPT,AG-637,2024-09-17,12500,2357.5,14857.5,0.25,12,69,66.86,1547.98,3,Funeral,N,,Settled
LN-500016,CL-117032,SF-PLK,AG-654,2024-09-26,19000,3007.5,22007.5,0.26,18,69,99.03,1657.58,3,Other,N,,Settled
LN-500017,CL-115173,SF-BFN,AG-651,10/09/2024,50000,5175,55175,0.27,24,69,248.29,3317.72,26,Business,N,,Written off
LN-500018,CL-103442,SF-PTA,AG-615,2024-09-08,11000,2207.5,"13,207.50",0.26,6,69,59.43,2499.59,9,Debt consolidation,N,,Settled
LN-500019,CL-110142,SF-PMB,AG-630,2024-09-05,20500,3157.5,23657.5,,24,69,106.46,1461.96,27,Home improvement,N,,Settled
LN-500020,CL-118644,SF-MAH,AG-660,2024-09-26,16500,2757.5,19257.5,0.28,12,69,86.66,2014.12,9,Other,N,,Written off
LN-500021,CL-107912,SF-DBN,AG-623,25/09/2024,37500,4857.5,42357.5,0.28,18,69,190.61,3168.42,2,Debt consolidation,N,,Settled
LN-500022,CL-110469,SF-CPT,AG-640,28/09/2024,24000,3507.5,27507.5,0.27,36,69,123.78,1315.78,25,Home improvement,N,,Active
LN-500023,CL-115236,SF-BFN,AG-649,2024-09-02,21000,3207.5,24207.5,0.25,18,69,108.93,1804.48,26,Business,N,,Settled
LN-500024,CL-106277,SF-DBN,AG-626,2024-09-27,29500,4057.5,33557.5,0.27,24,69,151.01,2044.87,27,Business,N,,Settled
LN-500025,CL-105719,SF-PTA,AG-617,2024-09-21,36500,4757.5,"41,257.50",0.26,24,69,185.66,2477.39,27,Vehicle repair,N,,Settled
