payment_id,loan_id,instalment_no,due_date,paid_date,amount_due_zar,amount_paid_zar,payment_method,status,failure_reason
RP-900001,LN-500001,1,2024-10-24,2024-10-25,3317.72,3317.72,Debit order,Paid,
RP-900002,LN-500002,1,2024-10-16,2024-10-23,1628.47,1628.47,Debit order,PAID,
RP-900003,LN-500003,1,2024-10-07,2024-10-14,1175.45,1175.45,Debit order,Paid,
RP-900004,LN-500004,1,21/10/2024,2024-10-23,2827.64,2827.64,EFT,Paid,
RP-900005,LN-500005,1,2024-10-08,2024-10-09,2540.32,2540.32,Debit order,Paid,
RP-900006,LN-500006,1,11/10/2024,2024-10-11,948.94,948.94,Debit order,Paid,
RP-900007,LN-500007,1,2024-10-13,2024-10-19,3267.34,3267.34,Debit order,Paid,
RP-900008,LN-500008,1,02/10/2024,2024-10-05,2668.13,2668.13,Debit order,Paid,
RP-900009,LN-500009,1,2024-10-08,2024-10-13,4220.29,4220.29,Debit order,Paid,
RP-900010,LN-500010,1,2024-10-11,2024-10-20,1931.27,"1,931.27",Debit order,Paid,
RP-900011,LN-500011,1,2024-10-15,2024-10-22,976.2,976.2,Debit order,Paid,
RP-900012,LN-500012,1,2024-10-11,2024-10-14,1383.73,1383.73,Debit order,Paid,
RP-900013,LN-500013,1,2024-10-20,2024-10-24,1885.3,1885.3,Debit order,Paid,
RP-900014,LN-500014,1,2024-10-17,2024-10-25,3007.44,"1,936.96",Debit order,Partial,
RP-900015,LN-500015,1,2024-10-17,2024-10-19,1547.98,"1,547.98",Debit order,Paid,
RP-900016,LN-500016,1,26/10/2024,2024-11-02,1657.58,1657.58,Debit order,Paid,
RP-900017,LN-500017,1,2024-10-10,,3317.72,0,EFT,Failed,Debit order disputed
RP-900018,LN-500018,1,2024-10-08,2024-10-10,2499.59,2499.59,Debit order,Paid,
RP-900019,LN-500019,1,2024-10-05,2024-10-14,1461.96,1461.96,Debit order,Paid,
RP-900020,LN-500020,1,2024-10-26,2024-11-02,2014.12,499.77,Debit order,PARTIAL,
RP-900021,LN-500021,1,2024-10-25,2024-10-31,3168.42,3168.42,Debit order,PAID,
RP-900022,LN-500022,1,2024-10-28,2024-10-29,1315.78,1315.78,Debit order,Paid,
RP-900023,LN-500023,1,2024-10-02,2024-10-06,1804.48,1804.48,Debit order,Paid,
RP-900024,LN-500024,1,2024-10-27,2024-11-01,2044.87,"2,044.87",EFT,Paid,
RP-900025,LN-500025,1,2024-10-21,2024-10-29,2477.39,2477.39,EFT,Paid,
RP-900026,LN-500026,1,2024-10-26,2024-10-31,890.99,890.99,Debit order,Paid,
RP-900027,LN-500027,1,2024-10-16,2024-10-24,1374.44,1374.44,Debit order,Paid,
RP-900028,LN-500028,1,2024-10-10,2024-10-14,5088.85,5088.85,Debit order,Paid,
RP-900029,LN-500029,1,22/10/2024,2024-10-27,4051.73,4051.73,Debit order,Paid,
RP-900030,LN-500030,1,09/10/2024,2024-10-09,2723.41,"2,723.41",Cash,Paid,
RP-900031,LN-500031,1,2024-10-10,2024-10-17,1668.44,1668.44,Debit order,Paid,
RP-900032,LN-500032,1,2024-10-06,2024-10-09,3736.27,"3,736.27",Debit order,Paid,
RP-900033,LN-500033,1,24/10/2024,2024-11-02,624.29,624.29,Debit order,Paid,
RP-900034,LN-500034,1,2024-10-23,2024-10-29,1236.38,1236.38,EFT,Paid,
RP-900035,LN-500035,1,2024-10-17,2024-10-19,2458.55,1713.49,Debit order,Partial,
RP-900036,LN-500036,1,2024-10-14,2024-10-17,3262.06,3262.06,Debit order,Paid,
RP-900037,LN-500037,1,2024-10-24,2024-10-29,2710.55,2710.55,Debit order,PAID,
RP-900038,LN-500038,1,2024-10-04,2024-10-05,7499.72,7499.72,Debit order,Paid,
RP-900039,LN-500039,1,20/10/2024,2024-10-25,4078.96,4078.96,Debit order,Paid,
RP-900040,LN-500040,1,15/10/2024,2024-10-16,2106.51,2106.51,Debit order,Paid,
RP-900041,LN-500041,1,21/10/2024,2024-10-21,3442.11,3442.11,EFT,Paid,
RP-900042,LN-500042,1,2024-10-26,2024-10-26,617.78,617.78,Debit order,Paid,
RP-900043,LN-500043,1,2024-10-13,2024-10-16,991.71,991.71,Debit order,Paid,
RP-900044,LN-500044,1,13/10/2024,2024-10-15,3205.7,3205.7,Debit order,Paid,
RP-900045,LN-500045,1,2024-10-15,2024-10-23,2553.66,2553.66,Debit order,Paid,
RP-900046,LN-500046,1,2024-10-15,2024-10-23,1546.31,1546.31,Debit order,Paid,
RP-900047,LN-500047,1,2024-10-19,2024-10-20,692.56,692.56,Debit order,Paid,
RP-900048,LN-500048,1,2024-10-23,2024-10-26,3110.41,3110.41,Debit order,Paid,
RP-900049,LN-500049,1,2024-10-17,2024-10-20,4347.36,"4,347.36",Debit order,Paid,
RP-900050,LN-500050,1,2024-10-16,2024-10-20,1975.19,1975.19,Debit order,Paid,
RP-900051,LN-500051,1,10/10/2024,2024-10-11,2752.46,2752.46,Debit order,Paid,
RP-900052,LN-500052,1,16/10/2024,2024-10-20,4024.6,4024.6,Debit order,Paid,
RP-900053,LN-500053,1,2024-10-24,2024-10-31,2540.32,"2,540.32",Debit order,Paid,
RP-900054,LN-500054,1,2024-10-18,2024-10-26,2725.72,2725.72,Debit order,Paid,
RP-900055,LN-500055,1,2024-10-20,2024-10-21,1278,1278,Debit order,Paid,
RP-900056,LN-500056,1,26/10/2024,2024-11-01,9168.31,"9,168.31",Debit order,Paid,
RP-900057,LN-500057,1,2024-10-20,2024-10-20,4078.96,4078.96,Debit order,Paid,
RP-900058,LN-500058,1,27/10/2024,2024-11-03,1856.08,1856.08,Debit order,Paid,
RP-900059,LN-500059,1,2024-10-05,2024-10-13,4024.6,4024.6,Debit order,Paid,
RP-900060,LN-500060,1,28/10/2024,2024-11-02,2595.4,2595.4,Debit order,Paid,
RP-900061,LN-500061,1,2024-10-15,2024-10-19,2822.82,2822.82,Debit order,Paid,
RP-900062,LN-500062,1,2024-10-01,,2381.07,0,Debit order,Failed,No authority
RP-900063,LN-500063,1,08/10/2024,2024-10-14,443.27,443.27,Debit order,Paid,
RP-900064,LN-500064,1,2024-10-21,2024-10-22,4437.23,4437.23,Debit order,paid,
RP-900065,LN-500065,1,2024-10-25,2024-10-27,2668.13,2668.13,Debit order,Paid,
RP-900066,LN-500066,1,2024-10-18,2024-10-24,1370.74,1370.74,Debit order,Paid,
RP-900067,LN-500067,1,01/10/2024,2024-10-03,2325.43,2325.43,Debit order,PAID,
RP-900068,LN-500068,1,2024-10-09,2024-10-10,2964.44,2964.44,Debit order,PAID,
