loan_id,writeoff_date,outstanding_at_writeoff_zar,recovery_to_date_zar
LN-500017,2025-02-28,54894.12,2871.98
LN-500020,2025-02-28,18981.93,554.13
LN-500078,2025-02-28,56539.35,520.5
LN-500084,2025-02-28,41969.94,6364.96
LN-500363,2025-02-28,16002.3,931.17
LN-500496,2025-02-28,12638.45,1290.79
LN-500710,2025-02-28,37407.69,3002.66
LN-500764,2025-02-28,23032.9,1446.48
LN-500167,2025-03-31,31858.79,605.3
LN-500409,2025-03-31,50047.61,8257.74
LN-500414,2025-03-31,32390.89,4291.09
LN-500416,2025-03-31,38289.99,1787.2
LN-500421,2025-03-31,23818.35,3417.03
LN-500427,2025-03-31,23898.43,0
LN-500724,2025-03-31,42575.48,1476.92
LN-500737,2025-03-31,17259.33,1921.81
LN-500891,2025-03-31,36863.99,3885.87
LN-500915,2025-03-31,15441.7,1509.85
LN-500934,2025-03-31,19572.3,2902.98
LN-501061,2025-03-31,44112.76,853.34
LN-501199,2025-03-31,53325.8,0
LN-501207,2025-03-31,18345.33,1571.29
LN-501210,2025-03-31,31662.43,2786.45
LN-501276,2025-03-31,37329.45,2815.65
LN-501312,2025-03-31,13172.85,1260.16
LN-501524,2025-03-31,20630.01,1942.75
LN-501620,2025-03-31,53272.04,2428.62
LN-500246,2025-04-30,25277.85,526.99
LN-500308,2025-04-30,28039.85,3570.74
LN-500349,2025-04-30,10235.74,1252.84
LN-500390,2025-04-30,27291.18,2527
LN-500441,2025-04-30,22486.35,3853.14
LN-500552,2025-04-30,25397.84,3209.21
LN-500559,2025-04-30,46570.93,697.36
LN-500627,2025-04-30,35185.8,520.29
LN-500726,2025-04-30,12518.17,1688.7
LN-500865,2025-04-30,29739.89,0
LN-500898,2025-04-30,21224.55,1084.42
LN-501027,2025-04-30,20362.27,1263.66
LN-501040,2025-04-30,8000.73,802.86
LN-501090,2025-04-30,14113.72,1600.99
LN-501185,2025-04-30,16440.2,2112.23
LN-501208,2025-04-30,50100.7,0
LN-501216,2025-04-30,45649.96,1467.24
LN-501230,2025-04-30,51088.3,5776.39
LN-501455,2025-04-30,39870.28,5497.63
LN-501776,2025-04-30,23765.99,0
LN-501878,2025-04-30,34503.55,5460.23
LN-501939,2025-04-30,21608.75,705.48
LN-502012,2025-04-30,53663.35,4597.11
LN-502103,2025-04-30,20512.86,1090.93
LN-502132,2025-04-30,31700.3,419.75
LN-502310,2025-04-30,44645.71,5433.95
LN-502391,2025-04-30,10956.55,720.79
LN-500006,2025-05-31,9909.82,734.76
LN-500175,2025-05-31,32312.11,2555.74
LN-500177,2025-05-31,29783.04,3298.03
LN-500324,2025-05-31,20739.65,3759.62
LN-500366,2025-05-31,12315.8,1277.19
LN-500461,2025-05-31,42801.57,0
LN-500497,2025-05-31,47646.19,2865.65
LN-500544,2025-05-31,24728.32,3775.74
LN-500616,2025-05-31,46932.72,6162.07
LN-500777,2025-05-31,24517.66,1991.45
LN-500809,2025-05-31,40569.02,199.71
LN-500909,2025-05-31,15975.2,709.28
LN-500983,2025-05-31,24896.35,2016.94
LN-501190,2025-05-31,30884.28,3198.91
LN-501228,2025-05-31,32857.22,3093.16
LN-501262,2025-05-31,38467.9,1947.82
LN-501375,2025-05-31,50116.11,3242.16
LN-501515,2025-05-31,36912.23,0
LN-501541,2025-05-31,18652.01,2583.21
LN-501554,2025-05-31,19095.51,0
LN-501743,2025-05-31,44167.45,6320.18
LN-501800,2025-05-31,21995.22,4591.32
LN-501921,2025-05-31,34453.08,0
LN-501927,2025-05-31,26070.61,1332.76
LN-501971,2025-05-31,44245.31,3894.88
LN-502206,2025-05-31,51675.26,2265.05
LN-502209,2025-05-31,30628.66,3351.82
LN-502287,2025-05-31,42079.96,4342.95
LN-502291,2025-05-31,37876.7,0
LN-502376,2025-05-31,36353.36,1978.07
LN-502405,2025-05-31,22590.27,0
LN-502415,2025-05-31,25601.46,4412.77
LN-502465,2025-05-31,53224.64,1253.73
LN-502574,2025-05-31,23996.43,1908.67
LN-502591,2025-05-31,22938.61,1160.66
LN-502808,2025-05-31,44904.54,9853.36
LN-502811,2025-05-31,26545.3,2530.56
LN-502848,2025-05-31,35064.15,2881.01
LN-502866,2025-05-31,34533.84,1431.25
LN-502949,2025-05-31,53792.29,4661.57
LN-502968,2025-05-31,54662.36,3634.09
LN-502977,2025-05-31,26093.9,723.44
LN-502979,2025-05-31,55058.5,5532.33
LN-502986,2025-05-31,54695.35,3932.59
LN-502994,2025-05-31,12484.26,1531.51
LN-503149,2025-05-31,32260.95,3268.72
LN-503326,2025-05-31,55538.35,0
LN-503340,2025-05-31,17934.15,344.56
LN-500011,2025-06-30,11864.67,1797.73
LN-500328,2025-06-30,23901.74,2926.89
LN-500438,2025-06-30,9915.81,683.72
LN-500547,2025-06-30,34105.57,1044.48
LN-500598,2025-06-30,11131.32,826.33
LN-500815,2025-06-30,10868.07,926.82
LN-500868,2025-06-30,33417.26,722.93
LN-501098,2025-06-30,20640.05,1002.27
LN-501145,2025-06-30,21544.5,1342.59
LN-501371,2025-06-30,47580.15,1518.47
LN-501423,2025-06-30,9018.78,585.8
LN-501465,2025-06-30,31072.68,33.9
LN-501480,2025-06-30,16046.12,780.47
LN-501679,2025-06-30,33463.78,1709.31
LN-501725,2025-06-30,21989.82,2410.34
LN-501726,2025-06-30,17345.32,1669.36
LN-501739,2025-06-30,43855.98,7759.1
LN-501850,2025-06-30,32890.32,2478.99
LN-501886,2025-06-30,16628.54,0
LN-501925,2025-06-30,22831.75,0
LN-502140,2025-06-30,22367.92,1186.76
LN-502157,2025-06-30,18526.7,1840.29
LN-502205,2025-06-30,26816.49,0
LN-502382,2025-06-30,19724.58,2116.97
LN-502545,2025-06-30,39993.88,2057.29
LN-502653,2025-06-30,22621.27,2778.2
LN-502669,2025-06-30,21471.07,3137.79
LN-502725,2025-06-30,27500.71,1021.74
LN-502733,2025-06-30,50600.58,1353.02
LN-502800,2025-06-30,24991.59,1601.14
LN-502844,2025-06-30,45671.66,3414.42
LN-502855,2025-06-30,50768.52,0
LN-502995,2025-06-30,32673.15,1762.05
LN-503273,2025-06-30,9751.04,1842.89
LN-503329,2025-06-30,16855.05,979.77
LN-503333,2025-06-30,16282.88,1239.17
LN-503439,2025-06-30,15252,727.16
LN-503522,2025-06-30,32040.97,2880.81
LN-503523,2025-06-30,24105.85,3848.46
LN-503579,2025-06-30,45155.75,2306.66
LN-503599,2025-06-30,41231.25,214.42
LN-503921,2025-06-30,55112.36,1126.62
LN-500241,2025-07-31,41931.78,1608.48
LN-500430,2025-07-31,26794.64,981.95
LN-500646,2025-07-31,17301.09,0
LN-500650,2025-07-31,5828.7,610.99
LN-500939,2025-07-31,18813.98,179.01
LN-501011,2025-07-31,24493.1,2004.44
LN-501494,2025-07-31,31881.33,2147.88
LN-501713,2025-07-31,21674.63,1442.05
LN-501888,2025-07-31,22448.61,2754.93
LN-501983,2025-07-31,16099.39,1400.64
LN-502080,2025-07-31,7672.42,204.46
LN-502348,2025-07-31,10908.29,422.57
LN-502414,2025-07-31,15393.18,968.83
LN-502418,2025-07-31,46763.68,3133.59
LN-502419,2025-07-31,27617.54,999.07
LN-502423,2025-07-31,40146.7,816.31
LN-502616,2025-07-31,51640.73,1118.85
LN-502845,2025-07-31,19161.69,0
LN-502965,2025-07-31,28989.67,1617.04
LN-503140,2025-07-31,41406.56,6298.82
LN-503179,2025-07-31,45779.46,3363.25
LN-503216,2025-07-31,38308.13,606.57
LN-503320,2025-07-31,20301.13,1203.49
LN-503360,2025-07-31,45555.09,2767.01
LN-503622,2025-07-31,42926.94,588.35
LN-503700,2025-07-31,42452.26,5442.19
LN-503708,2025-07-31,32827.92,2085.29
LN-503743,2025-07-31,39999.25,1550.52
LN-503745,2025-07-31,29477.84,620.82
LN-503746,2025-07-31,44820.93,2176.83
LN-503761,2025-07-31,50794.55,2759.54
LN-503841,2025-07-31,17837.04,2321.43
LN-503899,2025-07-31,38331.43,1332.22
LN-503912,2025-07-31,45547,3838.57
LN-503974,2025-07-31,37097.31,4024.67
LN-503992,2025-07-31,47874.85,5287.64
LN-504030,2025-07-31,32893.29,3255.66
LN-504066,2025-07-31,56539.35,6024.79
LN-504114,2025-07-31,51737.92,5150.61
