session_id,clinic_code,practitioner_id,session_date,start_time,end_time,slot_minutes,slots_offered,sessional_cost_zar
SE-400001,LUM-SAN,PR-3001,02/09/2024,08:00,17:00,20,27,4207
SE-400002,LUM-SAN,PR-3002,02/09/2024,08:00,17:00,30,18,5987
SE-400003,LUM-SAN,PR-3003,2024-09-02,08:00,17:00,20,27,3679
SE-400004,LUM-SAN,PR-3004,2024-09-02,08:00,17:00,20,27,4117
SE-400005,LUM-SAN,PR-3005,2024-09-02,08:00,17:00,20,27,4234
SE-400006,LUM-SAN,PR-3006,02/09/2024,08:00,17:00,30,18,3134
SE-400007,LUM-SAN,PR-3007,2024-09-02,08:00,17:00,45,12,6711
SE-400008,LUM-PTA,PR-3008,2024-09-02,08:00,17:00,20,27,3803
SE-400009,LUM-PTA,PR-3009,2024-09-02,08:00,17:00,25,21,8221
SE-400010,LUM-PTA,PR-3011,2024-09-02,08:00,17:00,20,27,4519
SE-400011,LUM-PTA,PR-3012,02/09/2024,08:00,17:00,20,27,4073
SE-400012,LUM-PTA,PR-3013,02/09/2024,08:00,17:00,30,18,5678
SE-400013,LUM-UMH,PR-3014,2024-09-02,08:00,17:00,20,27,3616
SE-400014,LUM-UMH,PR-3015,2024-09-02,08:00,17:00,30,18,4817
SE-400015,LUM-UMH,PR-3016,2024-09-02,08:00,17:00,30,18,3166
SE-400016,LUM-UMH,PR-3017,2024-09-02,08:00,17:00,25,21,7465
SE-400017,LUM-UMH,PR-3018,02/09/2024,08:00,17:00,20,27,3765
SE-400018,LUM-CLR,PR-3019,2024-09-02,08:00,17:00,20,27,4416
SE-400019,LUM-CLR,PR-3020,2024-09-02,08:00,17:00,30,18,3302
SE-400020,LUM-CLR,PR-3021,2024-09-02,08:00,17:00,20,27,4210
SE-400021,LUM-CLR,PR-3022,2024-09-02,08:00,17:00,20,27,4199
SE-400022,LUM-CLR,PR-3023,02/09/2024,08:00,17:00,20,27,3940
SE-400023,LUM-GQE,PR-3025,2024-09-02,08:00,17:00,20,27,3480
SE-400024,LUM-GQE,PR-3027,02/09/2024,08:00,17:00,30,18,5152
SE-400025,LUM-GQE,PR-3028,2024-09-02,08:00,17:00,20,27,4210
SE-400026,LUM-BFN,PR-3029,2024-09-02,08:00,17:00,30,18,4817
SE-400027,LUM-BFN,PR-3030,2024-09-02,08:00,17:00,30,18,2885
SE-400028,LUM-BFN,PR-3031,02/09/2024,08:00,17:00,30,18,3256
SE-400029,LUM-BFN,PR-3032,2024-09-02,08:00,17:00,30,18,2779
SE-400030,LUM-SAN,PR-3001,2024-09-03,08:00,17:00,20,27,4207
SE-400031,LUM-SAN,PR-3002,03/09/2024,08:00,17:00,30,18,5987
SE-400032,LUM-SAN,PR-3003,2024-09-03,08:00,17:00,20,27,3679
SE-400033,LUM-SAN,PR-3004,03/09/2024,08:00,17:00,20,27,4117
SE-400034,LUM-SAN,PR-3005,03/09/2024,08:00,17:00,20,27,4234
SE-400035,LUM-SAN,PR-3006,03/09/2024,08:00,17:00,30,18,3134
SE-400036,LUM-SAN,PR-3007,2024-09-03,08:00,17:00,45,12,6711
SE-400037,LUM-PTA,PR-3008,2024-09-03,08:00,17:00,20,27,3803
SE-400038,LUM-PTA,PR-3009,03/09/2024,08:00,17:00,25,21,8221
SE-400039,LUM-PTA,PR-3010,2024-09-03,08:00,17:00,30,18,5602
SE-400040,LUM-PTA,PR-3011,2024-09-03,08:00,17:00,20,27,4519
SE-400041,LUM-PTA,PR-3012,03/09/2024,08:00,17:00,20,27,4073
SE-400042,LUM-PTA,PR-3013,2024-09-03,08:00,17:00,30,18,5678
SE-400043,LUM-UMH,PR-3015,03/09/2024,08:00,17:00,30,18,4817
SE-400044,LUM-UMH,PR-3016,2024-09-03,08:00,17:00,30,18,3166
SE-400045,LUM-UMH,PR-3017,03/09/2024,08:00,17:00,25,21,7465
SE-400046,LUM-UMH,PR-3018,03/09/2024,08:00,17:00,20,27,3765
SE-400047,LUM-CLR,PR-3019,03/09/2024,08:00,17:00,20,27,4416
SE-400048,LUM-CLR,PR-3020,2024-09-03,08:00,17:00,30,18,3302
SE-400049,LUM-CLR,PR-3021,2024-09-03,08:00,17:00,20,27,4210
SE-400050,LUM-CLR,PR-3023,2024-09-03,08:00,17:00,20,27,3940
SE-400051,LUM-GQE,PR-3025,2024-09-03,08:00,17:00,20,27,3480
SE-400052,LUM-GQE,PR-3026,03/09/2024,08:00,17:00,20,27,4421
SE-400053,LUM-GQE,PR-3027,2024-09-03,08:00,17:00,30,18,5152
SE-400054,LUM-GQE,PR-3028,2024-09-03,08:00,17:00,20,27,4210
SE-400055,LUM-BFN,PR-3029,2024-09-03,08:00,17:00,30,18,4817
SE-400056,LUM-BFN,PR-3031,03/09/2024,08:00,17:00,30,18,3256
SE-400057,LUM-BFN,PR-3032,2024-09-03,08:00,17:00,30,18,2779
SE-400058,LUM-SAN,PR-3002,2024-09-04,08:00,17:00,30,18,5987
SE-400059,LUM-SAN,PR-3003,04/09/2024,08:00,17:00,20,27,3679
SE-400060,LUM-SAN,PR-3004,04/09/2024,08:00,17:00,20,27,4117
SE-400061,LUM-SAN,PR-3005,04/09/2024,08:00,17:00,20,27,4234
SE-400062,LUM-SAN,PR-3006,2024-09-04,08:00,17:00,30,18,3134
SE-400063,LUM-PTA,PR-3008,2024-09-04,08:00,17:00,20,27,3803
SE-400064,LUM-PTA,PR-3009,2024-09-04,08:00,17:00,25,21,8221
SE-400065,LUM-PTA,PR-3010,04/09/2024,08:00,17:00,30,18,5602
SE-400066,LUM-PTA,PR-3011,2024-09-04,08:00,17:00,20,27,4519
SE-400067,LUM-PTA,PR-3012,2024-09-04,08:00,17:00,20,27,4073
SE-400068,LUM-PTA,PR-3013,2024-09-04,08:00,17:00,30,18,5678
SE-400069,LUM-UMH,PR-3014,2024-09-04,08:00,17:00,20,27,3616
SE-400070,LUM-UMH,PR-3015,04/09/2024,08:00,17:00,30,18,4817
SE-400071,LUM-UMH,PR-3016,2024-09-04,08:00,17:00,30,18,3166
SE-400072,LUM-UMH,PR-3017,2024-09-04,08:00,17:00,25,21,7465
SE-400073,LUM-UMH,PR-3018,2024-09-04,08:00,17:00,20,27,3765
SE-400074,LUM-CLR,PR-3020,04/09/2024,08:00,17:00,30,18,3302
SE-400075,LUM-CLR,PR-3021,2024-09-04,08:00,17:00,20,27,4210
SE-400076,LUM-CLR,PR-3022,04/09/2024,08:00,17:00,20,27,4199
SE-400077,LUM-CLR,PR-3023,04/09/2024,08:00,17:00,20,27,3940
SE-400078,LUM-CLR,PR-3024,2024-09-04,08:00,17:00,20,27,4215
SE-400079,LUM-GQE,PR-3025,04/09/2024,08:00,17:00,20,27,3480
SE-400080,LUM-GQE,PR-3027,2024-09-04,08:00,17:00,30,18,5152
SE-400081,LUM-GQE,PR-3028,2024-09-04,08:00,17:00,20,27,4210
SE-400082,LUM-BFN,PR-3029,2024-09-04,08:00,17:00,30,18,4817
SE-400083,LUM-BFN,PR-3030,2024-09-04,08:00,17:00,30,18,2885
SE-400084,LUM-BFN,PR-3031,2024-09-04,08:00,17:00,30,18,3256
SE-400085,LUM-BFN,PR-3032,2024-09-04,08:00,17:00,30,18,2779
SE-400086,LUM-SAN,PR-3001,2024-09-05,08:00,17:00,20,27,4207
SE-400087,LUM-SAN,PR-3002,05/09/2024,08:00,17:00,30,18,5987
SE-400088,LUM-SAN,PR-3003,2024-09-05,08:00,17:00,20,27,3679
SE-400089,LUM-SAN,PR-3004,2024-09-05,08:00,17:00,20,27,4117
SE-400090,LUM-SAN,PR-3005,2024-09-05,08:00,17:00,20,27,4234
SE-400091,LUM-SAN,PR-3006,05/09/2024,08:00,17:00,30,18,3134
SE-400092,LUM-SAN,PR-3007,2024-09-05,08:00,17:00,45,12,6711
SE-400093,LUM-PTA,PR-3008,05/09/2024,08:00,17:00,20,27,3803
SE-400094,LUM-PTA,PR-3009,2024-09-05,08:00,17:00,25,21,8221
SE-400095,LUM-PTA,PR-3010,2024-09-05,08:00,17:00,30,18,5602
SE-400096,LUM-PTA,PR-3011,2024-09-05,08:00,17:00,20,27,4519
SE-400097,LUM-PTA,PR-3012,05/09/2024,08:00,17:00,20,27,4073
SE-400098,LUM-PTA,PR-3013,2024-09-05,08:00,17:00,30,18,5678
SE-400099,LUM-UMH,PR-3015,05/09/2024,08:00,17:00,30,18,4817
SE-400100,LUM-UMH,PR-3016,2024-09-05,08:00,17:00,30,18,3166
SE-400101,LUM-UMH,PR-3017,2024-09-05,08:00,17:00,25,21,7465
SE-400102,LUM-UMH,PR-3018,2024-09-05,08:00,17:00,20,27,3765
SE-400103,LUM-CLR,PR-3019,2024-09-05,08:00,17:00,20,27,4416
SE-400104,LUM-CLR,PR-3020,2024-09-05,08:00,17:00,30,18,3302
SE-400105,LUM-CLR,PR-3021,2024-09-05,08:00,17:00,20,27,4210
SE-400106,LUM-CLR,PR-3022,05/09/2024,08:00,17:00,20,27,4199
SE-400107,LUM-CLR,PR-3024,2024-09-05,08:00,17:00,20,27,4215
SE-400108,LUM-GQE,PR-3025,2024-09-05,08:00,17:00,20,27,3480
SE-400109,LUM-GQE,PR-3026,05/09/2024,08:00,17:00,20,27,4421
SE-400110,LUM-GQE,PR-3027,2024-09-05,08:00,17:00,30,18,5152
SE-400111,LUM-GQE,PR-3028,05/09/2024,08:00,17:00,20,27,4210
SE-400112,LUM-BFN,PR-3030,2024-09-05,08:00,17:00,30,18,2885
SE-400113,LUM-BFN,PR-3031,2024-09-05,08:00,17:00,30,18,3256
SE-400114,LUM-BFN,PR-3032,2024-09-05,08:00,17:00,30,18,2779
SE-400115,LUM-SAN,PR-3001,2024-09-06,08:00,17:00,20,27,4207
SE-400116,LUM-SAN,PR-3002,06/09/2024,08:00,17:00,30,18,5987
SE-400117,LUM-SAN,PR-3003,2024-09-06,08:00,17:00,20,27,3679
SE-400118,LUM-SAN,PR-3004,2024-09-06,08:00,17:00,20,27,4117
SE-400119,LUM-SAN,PR-3005,2024-09-06,08:00,17:00,20,27,4234
SE-400120,LUM-SAN,PR-3006,2024-09-06,08:00,17:00,30,18,3134
SE-400121,LUM-SAN,PR-3007,06/09/2024,08:00,17:00,45,12,6711
SE-400122,LUM-PTA,PR-3008,06/09/2024,08:00,17:00,20,27,3803
SE-400123,LUM-PTA,PR-3009,2024-09-06,08:00,17:00,25,21,8221
SE-400124,LUM-PTA,PR-3010,06/09/2024,08:00,17:00,30,18,5602
SE-400125,LUM-PTA,PR-3011,2024-09-06,08:00,17:00,20,27,4519
SE-400126,LUM-PTA,PR-3012,2024-09-06,08:00,17:00,20,27,4073
SE-400127,LUM-PTA,PR-3013,2024-09-06,08:00,17:00,30,18,5678
SE-400128,LUM-UMH,PR-3014,2024-09-06,08:00,17:00,20,27,3616
SE-400129,LUM-UMH,PR-3015,06/09/2024,08:00,17:00,30,18,4817
SE-400130,LUM-UMH,PR-3016,2024-09-06,08:00,17:00,30,18,3166
SE-400131,LUM-UMH,PR-3017,2024-09-06,08:00,17:00,25,21,7465
